dataset,pred_len,features,target,activation,activation_family,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,start_bin,middle_bin,end_bin,target_win_rate_start,target_win_rate_middle,target_win_rate_end,target_win_rate_end_minus_start,target_win_rate_end_minus_middle,target_win_rate_spread,target_win_rate_slope,aggregate_relative_target_mse_change_start,aggregate_relative_target_mse_change_middle,aggregate_relative_target_mse_change_end,aggregate_relative_target_mse_change_end_minus_start,aggregate_relative_target_mse_change_end_minus_middle,aggregate_relative_target_mse_change_spread,aggregate_relative_target_mse_change_slope,relative_target_mse_change_mean_start,relative_target_mse_change_mean_middle,relative_target_mse_change_mean_end,relative_target_mse_change_mean_end_minus_start,relative_target_mse_change_mean_end_minus_middle,relative_target_mse_change_mean_spread,relative_target_mse_change_mean_slope,target_mse_delta_mean_start,target_mse_delta_mean_middle,target_mse_delta_mean_end,target_mse_delta_mean_end_minus_start,target_mse_delta_mean_end_minus_middle,target_mse_delta_mean_spread,target_mse_delta_mean_slope,all_win_rate_start,all_win_rate_middle,all_win_rate_end,all_win_rate_end_minus_start,all_win_rate_end_minus_middle,all_win_rate_spread,all_win_rate_slope,aggregate_relative_all_mse_change_start,aggregate_relative_all_mse_change_middle,aggregate_relative_all_mse_change_end,aggregate_relative_all_mse_change_end_minus_start,aggregate_relative_all_mse_change_end_minus_middle,aggregate_relative_all_mse_change_spread,aggregate_relative_all_mse_change_slope,relative_all_mse_change_mean_start,relative_all_mse_change_mean_middle,relative_all_mse_change_mean_end,relative_all_mse_change_mean_end_minus_start,relative_all_mse_change_mean_end_minus_middle,relative_all_mse_change_mean_spread,relative_all_mse_change_mean_slope,all_mse_delta_mean_start,all_mse_delta_mean_middle,all_mse_delta_mean_end,all_mse_delta_mean_end_minus_start,all_mse_delta_mean_end_minus_middle,all_mse_delta_mean_spread,all_mse_delta_mean_slope,relative_target_mse_change_spearman,target_win_spearman,relative_all_mse_change_spearman,all_win_spearman,best_target_bin,worst_target_bin,aggregate_best_target_bin,aggregate_worst_target_bin,factor_conditioned,aggregate_factor_conditioned,source_host,source_file
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,anomaly_density_intensity,11392,3,low,mid,high,0.5163043478260869,0.4980988593155893,0.5334677419354839,0.0171633941093969,0.0353688826198945,0.0353688826198945,0.0085816970546983,0.0193704310804605,0.0097793294116854,0.0289239790290594,0.0095535479485988,0.0191446496173739,0.0191446496173739,0.0047767739742994,-0.0143920030077778,-0.0080427432875117,0.0043888652392231,0.0187808682470009,0.0124316085267348,0.0187808682470009,0.0093904341235004,0.0054987967014312,0.0032974779605865,0.0123935341835021,0.0068947374820709,0.0090960562229156,0.0090960562229156,0.0034473687410354,0.5512632197414806,0.5769961977186312,0.6427419354838709,0.0914787157423903,0.0657457377652397,0.0914787157423903,0.0457393578711951,0.0166966952383518,0.0152879822999238,0.0317917019128799,0.0150950066745281,0.016503719612956,0.016503719612956,0.007547503337264,0.0097385464465914,0.0176642185347485,0.0268988722118387,0.0171603257652473,0.0092346536770902,0.0171603257652473,0.0085801628826236,0.0123317241668701,0.0134660601615905,0.0210165977478027,0.0086848735809326,0.0075505375862121,0.0086848735809326,0.0043424367904663,0.038017536860248,0.0116854190842397,0.0871537829157709,0.0815816480275535,high,low,high,mid,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,cv,11392,3,low,mid,high,0.5174329501915709,,0.5084033613445378,-0.009029588847033,,0.009029588847033,-0.0045147944235165,0.0205581076443195,,0.0190669428557157,-0.0014911647886037,,0.0014911647886037,-0.0007455823943018,-0.0112629861762739,,0.0142513373106064,0.0255143234868804,,0.0255143234868804,0.0127571617434402,0.0059061050415039,,0.0141285061836242,0.0082224011421203,,0.0082224011421203,0.0041112005710601,0.5589080459770115,,0.7626050420168067,0.2036969960397952,,0.2036969960397952,0.1018484980198975,0.0170767772942781,,0.0431517995893955,0.0260750222951173,,0.0260750222951173,0.0130375111475586,0.0123822703452136,,0.0429662192088601,0.0305839488636465,,0.0305839488636465,0.0152919744318232,0.0127521753311157,,0.0328531265258789,0.0201009511947631,,0.0201009511947631,0.0100504755973815,0.1113090568666618,0.0716504140746799,0.1266760060627383,0.1134707973402803,high,low,low,high,True,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,kurtosis,11392,3,low,mid,high,0.5520214030915577,0.4939353099730458,0.5243785850860421,-0.0276428180055156,0.0304432751129962,0.0580860931185118,-0.0138214090027578,0.0259591564536094,0.0146847534924745,0.0280680824071168,0.0021089259535074,0.0133833289146423,0.0133833289146423,0.0010544629767537,-0.0090872193084305,-0.0158209054842028,0.0097820258829759,0.0188692451914064,0.0256029313671788,0.0256029313671788,0.0094346225957032,0.0066515058279037,0.0050013363361358,0.0110162794589996,0.0043647736310958,0.0060149431228637,0.0060149431228637,0.0021823868155479,0.5472651605231866,0.5980458221024259,0.5592734225621415,0.0120082620389548,-0.0387723995402843,0.0507806615792392,0.0060041310194774,0.0117973256856203,0.0233383569866418,0.017354080453515,0.0055567547678947,-0.0059842765331268,0.0115410313010215,0.0027783773839473,0.0048435248891856,0.0208276874022769,0.0144588780801764,0.0096153531909908,-0.0063688093221004,0.0159841625130913,0.0048076765954954,0.0076156854629516,0.0187915563583374,0.0130219459533691,0.0054062604904174,-0.0057696104049682,0.0111758708953857,0.0027031302452087,0.0110279130720485,-0.0138902294657356,0.0185377162682801,0.0115191984866541,high,mid,high,mid,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,max_abs_change,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,0.0210184031519663,0.0204863009536546,-0.0803813094230294,-0.0595385508227981,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,mean,11392,3,low,mid,high,0.5298175344904317,0.4675540765391014,,,,0.0622634579513302,-0.0622634579513302,0.0246526822447776,-0.0094528729096055,,,,0.0341055551543831,-0.0341055551543831,0.0048742399717184,-0.0614925005933478,,,,0.0663667405650662,-0.0663667405650662,0.008856862783432,-0.0018702745437622,,,,0.0107271373271942,-0.0107271373271942,0.5922340898976413,0.5149750415973378,,,,0.0772590483003035,-0.0772590483003036,0.0219903942197561,0.0018919951980933,,,,0.0200983990216627,-0.0200983990216627,0.0201321059881847,-0.0044811254288431,,,,0.0246132314170278,-0.0246132314170278,0.0180513262748718,0.0008994936943054,,,,0.0171518325805664,-0.0171518325805664,-0.1142289435863857,-0.0782858195732789,-0.1323838048593348,-0.1160614908226632,low,mid,low,mid,True,True,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,mean_abs_change,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,0.0272737121637239,0.028602646674463,-0.0453175623576423,-0.0384649169201323,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,range,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,-0.052546382680622,-0.0383790529358039,-0.0683940963732418,-0.0535180970075441,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,skewness,11392,3,low,mid,high,0.5167720407446434,0.25,,,,0.2667720407446434,-0.2667720407446434,0.0202755965292453,0.0161494426429271,,,,0.0041261538863182,-0.0041261538863182,-0.0091371655356144,0.0089346397435292,,,,0.0180718052791436,0.0180718052791436,0.0065935254096984,0.0056334733963012,,,,0.0009600520133972,-0.0009600520133972,0.5759571478749561,0.5,,,,0.0759571478749561,-0.0759571478749561,0.0192962326109409,0.0152248032391071,,,,0.0040714293718338,-0.0040714293718338,0.0149431533225579,0.0005282633937895,,,,0.0144148899287684,-0.0144148899287684,0.014432668685913,0.0123146772384643,,,,0.0021179914474487,-0.0021179914474487,-0.1192722727950611,-0.0937689309579344,0.0092911947997534,-0.001679705318888,mid,low,low,mid,True,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,std,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,-0.0585900329583661,-0.0387697416751178,-0.0653284924071676,-0.0506183394679603,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,trend,11392,3,down,flat,up,0.5291116446578632,0.4963655244029076,0.5114155251141552,-0.0176961195437079,0.0150500007112476,0.0327461202549556,-0.008848059771854,0.0227741301059722,0.015106787905097,0.0064268414862453,-0.0163472886197268,-0.0086799464188516,0.0163472886197268,-0.0081736443098634,0.0107516128895784,-0.0374102367629023,-0.0360306151210663,-0.0467822280106448,0.0013796216418359,0.0481618496524808,-0.0233911140053224,0.0091098248958587,0.0034897923469543,0.0010947883129119,-0.0080150365829467,-0.0023950040340423,0.0080150365829467,-0.0040075182914733,0.6198979591836735,0.52466251298027,0.4668949771689498,-0.1530029820147237,-0.0577675358113202,0.1530029820147237,-0.0765014910073619,0.0258478838950395,0.010806799866259,-0.0077084312215447,-0.0335563151165843,-0.0185152310878038,0.0335563151165843,-0.0167781575582921,0.0252287960431481,0.0039280846319106,-0.0149325750488508,-0.0401613710919989,-0.0188606596807615,0.0401613710919989,-0.0200806855459994,0.0209624171257019,0.0073849558830261,-0.0042604207992553,-0.0252228379249572,-0.0116453766822814,0.0252228379249572,-0.0126114189624786,-0.0528591097425606,-0.0223135941725869,-0.1380274749784184,-0.1302557515520098,down,flat,down,up,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,turbulence_score,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,-0.0115497218739449,-0.0084624656312191,-0.0463389507809609,-0.0313150695835883,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
ETTh1,24,M,OT,gelu_sin,sin_perturb,0.01,1,gelu,volatility,11392,3,low,mid,high,0.5166783707865169,,,,,0.0,,0.0202740710228681,,,,,0.0,,-0.0091308200983675,,,,,0.0,,0.0065931975841522,,,,,0.0,,0.5759304775280899,,,,,0.0,,0.0192946437746286,,,,,0.0,,0.0149380919145773,,,,,0.0,,0.014431893825531,,,,,0.0,,0.0798869891672974,0.0561707213500784,0.1545394409815113,0.1251553845235206,low,low,low,low,False,False,10.20.12.248,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv
