dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
ETTh1,168,lee,lee_oc,0.0,1,gelu,anomaly_density_intensity,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,cv,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,kurtosis,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,max_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,mean,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,mean_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,skewness,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,turbulence_score,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,1,gelu,volatility,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,anomaly_density_intensity,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,cv,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,kurtosis,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,max_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,mean,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,mean_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,skewness,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,turbulence_score,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,lee,lee_oc,0.0,3,gelu,volatility,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,anomaly_density_intensity,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,cv,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,kurtosis,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,max_abs_change,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,mean,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,mean_abs_change,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,skewness,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,turbulence_score,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh,bounded_sign,0.0,1,gelu,volatility,10.21.53.113,10800,3,,,,,,,,,,,,,,,,,,
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,anomaly_density_intensity,10.21.53.113,10800,3,-0.0429380161881948,-0.0431802450771954,-0.0002422288890005994,-0.0359952934086322,-0.0254666898399591,0.010528603568673103,0.406724924012158,0.482421875,0.07569695098784202,0.0056995131740796,0.0178727426077204,0.012173229433640798,0.0083272755146026,0.020267242565751,0.011939967051148399,0.5400835866261399,0.6360677083333334,0.0959841217071935
ETTh1,168,tanh_sin,sin_perturb,0.01,1,tanh,cv,10.21.53.113,10800,3,-0.0432129844617721,-0.0418392463288723,0.0013737381328998016,-0.0286548268049955,-0.032085295766592,-0.0034304689615964994,0.4026156001868285,0.4644580250884528,0.06184242490162428,0.0054941389839108,0.0229987193793971,0.017504580395486302,0.0085584353655576,0.0227982699871063,0.0142398346215487,0.5679588977113499,0.6349308459311676,0.06697194821981767
