dataset,pred_len,activation,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,relative_target_mse_change_mean_end_minus_start,target_win_rate_end_minus_start,aggregate_relative_target_mse_change_end_minus_start,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,aggregate_factor_conditioned,source_host
ETTh1,24,lee,0.0,1,tanh,turbulence_score,28480,3,,,,0.0120932027314631,0.0138295569812407,False,False,10.20.12.248
ETTh1,24,lee,0.0,1,tanh,volatility,28480,3,,,,-0.0603283646657087,-0.0615645331417249,False,False,10.20.12.248
ETTh1,24,lee,0.0,3,tanh,turbulence_score,8544,3,,,,-0.0439349069915551,-0.022287032111286,False,False,10.20.12.248
ETTh1,24,lee,0.0,3,tanh,volatility,8544,3,,,,0.1584149681921833,0.0740696597973868,True,False,10.20.12.248
ETTh1,24,softsign,0.0,1,gelu,turbulence_score,8544,3,,,,-0.1522072499723143,0.0209436963030798,True,False,10.20.12.248
ETTh1,24,softsign,0.0,1,gelu,volatility,8544,3,,,,0.4832351804362482,0.3073476766232759,True,False,10.20.12.248
ETTh1,24,tanh,0.0,1,gelu,turbulence_score,25632,3,,,,-0.1314038285867741,-0.0525520862195815,True,False,10.20.12.248
ETTh1,24,tanh,0.0,1,gelu,volatility,25632,3,,,,0.3310439038219986,0.2620984647402062,True,False,10.20.12.248
ETTh1,24,tanh_sin,0.01,1,tanh,turbulence_score,17088,3,,,,-0.0463260947958435,-0.0345024200404483,False,False,10.20.12.248
ETTh1,24,tanh_sin,0.01,1,tanh,volatility,17088,3,,,,0.0003950932207974,0.0024629256182689,False,False,10.20.12.248
ETTh1,24,tanh_sin,0.05,1,tanh,turbulence_score,17088,3,,,,-0.0229436238771164,-0.0102270527202705,False,False,10.20.12.248
ETTh1,24,tanh_sin,0.05,1,tanh,volatility,17088,3,,,,-0.0638970005885457,-0.0366671372707695,False,False,10.20.12.248
ETTh1,24,tanh_sin,0.1,1,tanh,turbulence_score,17088,3,,,,-0.0467302782556203,-0.0366809994522892,False,False,10.20.12.248
ETTh1,24,tanh_sin,0.1,1,tanh,volatility,17088,3,,,,-0.0386366022665415,-0.0134877195684027,False,False,10.20.12.248
ETTh1,168,tanh,0.0,1,gelu,turbulence_score,5376,1,,,,,,False,False,10.20.12.248
ETTh1,168,tanh,0.0,1,gelu,volatility,5376,1,,,,,,False,False,10.20.12.248
ETTh1,168,tanh_sin,0.01,1,tanh,turbulence_score,5376,1,,,,-0.1887534027829695,-0.1446589852272663,True,False,10.20.12.248
ETTh1,168,tanh_sin,0.01,1,tanh,volatility,5376,1,,,,0.1887052355962719,0.1464208562002418,True,False,10.20.12.248
ETTh1,168,tanh_sin,0.05,1,tanh,turbulence_score,5376,1,,,,-0.0410406313113585,-0.0321007022148219,False,False,10.20.12.248
ETTh1,168,tanh_sin,0.05,1,tanh,volatility,5376,1,,,,-0.1623726140573351,-0.1345510697852063,True,False,10.20.12.248
ETTh1,168,tanh_sin,0.1,1,tanh,turbulence_score,5376,1,,,,-0.024596937150323,-0.0703418842344771,False,False,10.20.12.248
ETTh1,168,tanh_sin,0.1,1,tanh,volatility,5376,1,,,,-0.0308898141357783,-0.0018625163399045,False,False,10.20.12.248
ETTh2,24,lee,0.0,1,tanh,turbulence_score,2848,1,-0.0295378717329666,-0.0767071419245332,-0.0212972993031144,-0.1308104981039896,-0.1007202869115181,True,False,10.20.12.248
ETTh2,24,lee,0.0,1,tanh,volatility,2848,1,,,,0.0345227625907395,0.0521682877627281,False,False,10.20.12.248
