dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label
ETTh1,24,M,gelu,baseline,0.0,1.0,0.0,1,gelu,0.74467346,0.0572883933466387,0.643620665,0.027361358735645,3,1,0.0,0.0,ineffective
ETTh1,24,M,gelu_sin,sin_perturb,0.01,1.0,0.0,1,gelu,0.733542175,0.0674154206617138,0.63718841,0.0300918615126261,3,1,0.0194334928278287,0.5,mixed
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,0.683186948,0.0439260627440094,0.604564831,0.0220969861920225,3,1,0.0686626703479372,0.9,strong_effective
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,0.7648342333333332,0.0482769005138413,0.6254052666666666,0.0272555267662052,3,1,-0.0537941568380751,0.0,negative
ETTh1,24,M,scaled_tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.7359136233333333,0.0446136745396569,0.6419434333333334,0.0142512977990404,3,1,0.0181065514850597,0.6666666666666666,mixed
ETTh1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.7122067166666667,0.0412086212949527,0.62320732,0.0216956547050601,3,1,0.0460677329643115,0.6666666666666666,effective
ETTh1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.6869114344444445,0.0434347973142364,0.6085168822222222,0.0206166186711162,3,1,0.0625615287869343,0.7777777777777778,effective
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,,,mixed
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,,,mixed
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed
ETTh1,336,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,1.3393809,0.018261315466855,0.950583815,0.0095316792022419,2,1,,,mixed
ETTh1,336,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,1.1898368,0.0288411885483243,0.86158347,0.0178148058188069,2,1,,,mixed
ETTh1,336,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.33083785,0.0063274036100916,0.94641927,0.0047028682067223,2,1,,,mixed
ETTh2,24,M,gelu,baseline,0.0,1.0,0.0,1,gelu,1.7130573,,1.0425525,,1,1,0.0,0.0,ineffective
ETTh2,24,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,0.74497163,,0.68676627,,1,1,0.5651215928387218,1.0,strong_effective
ETTh2,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.8462114,,0.7293429,,1,1,0.5060227115578679,1.0,strong_effective
ETTh2,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.7220771,,0.6768941,,1,1,0.5784863121624712,1.0,strong_effective
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,3.466888583333333,0.5016067626395458,1.57636545,0.138166168734155,6,2,,,mixed
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,3,gelu,2.7307934333333335,0.5517795317762799,1.3801577166666668,0.1605360062663877,6,2,,,mixed
