stage,dataset,pred_len,config_name,activation,output_activation,activation_signature,placement,seed,batch_size,train_epochs,seq_len,label_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,dropout,learning_rate,features,model,embed,class_strategy,data,root_path,data_path,target,freq
placement_probe,ETTh2,96,gelu_ffn_linear,gelu,linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,gelu_ffn_outtanh,gelu,tanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,relu_ffn_linear,relu,linear,act=relu|ffn=relu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,relu_ffn_outtanh,relu,tanh,act=relu|ffn=relu|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,softsign_ffn_linear,softsign,linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,softsign_ffn_outtanh,softsign,tanh,act=softsign|ffn=softsign|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,swish_ffn_linear,swish,linear,act=swish|ffn=swish|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,swish_ffn_outtanh,swish,tanh,act=swish|ffn=swish|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,tanh_ffn_linear,tanh,linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,tanh_ffn_outtanh,tanh,tanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,tanh_sin001_ffn_linear,tanh_sin001,linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTh2,96,tanh_sin001_ffn_outtanh,tanh_sin001,tanh,act=tanh_sin001|ffn=tanh_sin001|out=tanh|a=0.01,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h
placement_probe,ETTm2,96,gelu_ffn_linear,gelu,linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t
placement_probe,ETTm2,96,gelu_ffn_outtanh,gelu,tanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t
placement_probe,ETTm2,96,relu_ffn_linear,relu,linear,act=relu|ffn=relu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t
