dataset,pred_len,factor_bin,oracle_signature,placement,bin_activation_mse,factor
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.27071438739068965,volatility
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.14361246486916665,volatility
Solar1,96,high,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.10322230549644397,volatility
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2861179489820115,volatility
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.26559764338895836,volatility
Solar5,96,high,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.1963617705548635,volatility
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.2546565236515517,std
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17059782196293105,std
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.10525281309840517,std
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2955065277564009,std
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2643518753378736,std
Solar5,96,high,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.18453722916224136,std
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.2220703729977227,range
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.19151410707775862,range
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.11131190793876437,range
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.30614570372399424,range
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.20764395620600573,range
Solar5,96,high,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.23245529364176726,range
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.1267978993956178,max_abs_change
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.18100738002304598,max_abs_change
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.206585287686796,max_abs_change
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2501745200040661,max_abs_change
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.23174459254748564,max_abs_change
Solar5,96,high,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.267956352041681,max_abs_change
Solar1,96,down,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.24275381702476292,trend
Solar1,96,flat,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.13907203216530892,trend
Solar1,96,up,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.13973965090845544,trend
Solar5,96,down,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.24295088062868533,trend
Solar5,96,flat,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2703936968172773,trend
Solar5,96,up,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.23152196892847698,trend
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.14487508416484196,realized_volatility
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.19032601023971982,realized_volatility
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.182338897452421,realized_volatility
Solar5,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.2621980963178592,realized_volatility
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.21337014159956177,realized_volatility
Solar5,96,high,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.2716385844347845,realized_volatility
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.17696544288037355,volatility_shock
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.13532285019586926,volatility_shock
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2055538219485345,volatility_shock
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.254236075231875,volatility_shock
Solar5,96,mid,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.24347631122280172,volatility_shock
Solar5,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.25380449423538076,volatility_shock
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.14330681509957613,trend_consistency
Solar1,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.15908543770177444,trend_consistency
Solar1,96,high,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.22187680562095546,trend_consistency
Solar5,96,low,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.21023949656051005,trend_consistency
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.29921069254837646,trend_consistency
Solar5,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.24248838860204025,trend_consistency
Solar1,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.11850884279377155,reversal_rate
Solar1,96,mid,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.20047126829226292,reversal_rate
Solar1,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.20475018597634337,reversal_rate
Solar5,96,low,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.18563629315959052,reversal_rate
Solar5,96,mid,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2699769708948994,reversal_rate
Solar5,96,high,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2900505980910991,reversal_rate
