dataset,pred_len,total_samples,bin_count,same_split_oracle_mse,factor,best_static_signature,best_static_placement,best_static_mse,same_split_gain_vs_best_static
Solar1,96,41760,3,0.17251638591876675,volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.0283940592244838
Solar5,96,41760,3,0.24935912097527776,volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.005135013549707519
Solar1,96,41760,3,0.17683571957096264,std,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.00406773094954973
Solar5,96,41760,3,0.24813187741883863,std,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.010031331917260135
Solar1,96,41760,3,0.17496546267141524,range,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.014600949024453611
Solar5,96,41760,3,0.2487483178572557,range,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
Solar1,96,41760,3,0.17146352236848658,max_abs_change,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.03432374801798717
Solar5,96,41760,3,0.24995848819774422,max_abs_change,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.002743725589894115
Solar1,96,41760,3,0.1738551666995091,trend,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.02085409510433442
Solar5,96,41760,3,0.2482888487914799,trend,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.009405065182339656
Solar1,96,41760,3,0.17251333061899427,realized_volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.0284112665604362
Solar5,96,41760,3,0.2490689407840685,realized_volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0062927418528329416
Solar1,96,41760,3,0.17261403834159245,volatility_shock,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.027844084370540104
Solar5,96,41760,3,0.2505056268966858,volatility_shock,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0005608131214028037
Solar1,96,41760,3,0.17475635280743534,trend_consistency,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.015778648087853304
Solar5,96,41760,3,0.2506461925703089,trend_consistency,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0
Solar1,96,41760,3,0.17457676568745928,reversal_rate,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.016790076142795703
Solar5,96,41760,3,0.24855462071519635,reversal_rate,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.008344718240736263
Solar1,96,41760,3,0.17323034265103687,jump_intensity,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.024373081165872244
Solar5,96,41760,3,0.25011360516166664,jump_intensity,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0021248573663965134
Solar1,96,41760,3,0.17130764831675768,tail_ratio,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.035201624944668566
Solar5,96,41760,3,0.2506461925703089,tail_ratio,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0
Solar1,96,41760,3,0.17611436548284004,mean_reversion_strength,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.008130370644266293
Solar5,96,41760,3,0.25033528289796697,mean_reversion_strength,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0012404324564184903
Solar1,96,41760,3,0.17496546267141524,max_drawdown,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.014600949024453611
Solar5,96,41760,3,0.2487483178572557,max_drawdown,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
Solar1,96,41760,3,0.17496546267141524,max_drawup,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.014600949024453611
Solar5,96,41760,3,0.2487483178572557,max_drawup,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
