dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,13230,3,0.29611346,0.28859684,0.0075166225,0.025384264,-0.23080229986334858,0.5381708238851096,0.31125757,0.29974267,0.011514902,0.03699477,-0.08951150633040891,0.5222978080120937
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,17091,3,0.16943397,0.13801211,0.031421855,0.18545192,-0.14644190906232854,0.5956936399274472,0.21111102,0.20150727,0.009603754,0.045491483,-0.06459198260068294,0.5528640805102101
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,11439,3,0.10833971,0.10821927,0.000120438635,0.0011116758,-0.4379275268791636,0.48098610018358245,0.16396639,0.1703791,-0.0064127147,-0.039109934,-0.18281875506882447,0.44846577498033047
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,13230,3,0.29611346,0.2804802,0.015633255,0.052794814,-0.19728066155111404,0.5345427059712774,0.31125757,0.30018032,0.011077255,0.035588708,-0.09224472254580422,0.5056689342403629
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,17179,3,0.16867271,0.14532395,0.023348764,0.13842644,-0.14160816367493725,0.5848419582047849,0.21111833,0.20467934,0.0064389855,0.030499415,-0.07550328063538762,0.5392048431224169
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,11351,3,0.10901819,0.10788809,0.0011301041,0.010366197,-0.32737423524427506,0.5012774204915866,0.1635898,0.16737245,-0.0037826449,-0.023122743,-0.1430064606326368,0.43758259184212844
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,low,13230,3,0.2804802,0.29124355,-0.010763347,-0.03837471,-0.2361085592387522,0.4711262282690854,0.30018032,0.2980386,0.002141714,0.0071347584,-0.0979869647600788,0.5122448979591837
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,mid,17084,3,0.14604597,0.15378079,-0.0077348202,-0.052961547,-0.3142643241245728,0.4767618824631234,0.20470522,0.21497694,-0.010271713,-0.05017807,-0.1256501538845961,0.45059704987122456
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,high,11446,3,0.1071211,0.1015935,0.0055276006,0.051601417,-0.10192351970971862,0.5437707496068496,0.16764344,0.17088272,-0.003239274,-0.019322403,-0.08055084956838185,0.4937095928708719
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,14608,3,0.3579613,0.28955612,0.06840518,0.19109659,-0.2145067218139909,0.6054901423877328,0.22148526,0.19229268,0.029192582,0.13180372,-0.020328329471341607,0.5858433734939759
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,10724,3,0.28308085,0.271659,0.011421859,0.0403484,-0.3299379278264769,0.5141738157403953,0.2204633,0.21381608,0.006647229,0.03015118,-0.16746754146413903,0.5051286833271168
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,16428,3,0.2117165,0.20233007,0.009386435,0.044334926,-0.35586115876850766,0.516009252495739,0.15550265,0.14798683,0.007515818,0.04833241,-0.13402598196089818,0.5163744825906988
