dataset,window_id,start_index,end_index,start_time,end_time,points_per_day,reference_days,alpha,beta,method,volatility,anomaly_density_intensity,turbulence_score,mean,std,cv,trend,range,mean_abs_change,max_abs_change,skewness,kurtosis,realized_volatility,volatility_shock,volatility_ratio_late_early,upside_volatility,downside_volatility,cumulative_change,momentum,trend_consistency,reversal_rate,mean_crossing_rate,lag1_autocorr,mean_reversion_strength,jump_intensity,tail_ratio,max_drawdown,max_drawup,direction_entropy
ETTm1,0,0,95,2016-07-01T00:00:00,2016-07-01T23:45:00,96,30,0.05,0.05,sum,0.15782957270342923,0.026802700448466443,1.0720248242148203,21.025677104791004,3.3184736348277353,0.15782957270342923,-0.08954343897974255,14.139999389648438,0.7160106458162007,5.979000091552734,1.2108008891885136,0.6449615049455502,1.0700332258061498,0.0036427525416193843,0.5874729007963927,0.7265613489568891,1.4533576087836442,-8.652999877929684,1.1960010528564489,0.5617977528089888,0.5340909090909091,0.042105263157894736,-0.11714469100656641,0.15924995416446114,0.021052631578947368,4.037119705788041,14.139999389648438,5.4869995117187536,0.7989763112144788
ETTm1,1,96,191,2016-07-02T00:00:00,2016-07-02T23:45:00,96,30,0.05,0.05,sum,0.13452759197761333,0.008968894710359379,0.913486169499235,22.053791602452595,2.8285337119516467,0.12825611856940397,0.06968759954848879,10.833000183105472,0.7278420096949532,2.6730003356933594,0.9962693465462905,-0.21815784499682556,0.9243292406946594,-0.1330209918918962,1.0617982756944473,0.91251891312143,0.9715376633960662,7.948999404907227,3.164999008178711,0.5543478260869565,0.4175824175824176,0.05263157894736842,0.22068216584100822,0.05263157894736842,0.0,3.248670218134424,6.683000564575195,10.833000183105472,0.7333932148263127
ETTm1,2,192,287,2016-07-03T00:00:00,2016-07-03T23:45:00,96,30,0.05,0.05,sum,0.18030932092627766,0.306106861840159,1.3563349810226655,26.355916738510132,3.883814876037054,0.14736026498704893,-0.026298131337323734,14.983999252319336,0.7923158545243113,3.6580009460449183,-0.39975561839006185,-0.6203896899143135,1.0454484901470378,0.04674697120933259,0.9880393958176091,1.0088798138362742,1.1349539474309516,-9.989999771118168,-12.593000411987312,0.550561797752809,0.32954545454545453,0.11578947368421053,0.41615266854159594,0.11578947368421053,0.021052631578947368,3.000002965798332,14.983999252319336,10.27099990844727,0.8011386726323013
ETTm1,3,288,383,2016-07-04T00:00:00,2016-07-04T23:45:00,96,30,0.05,0.05,sum,0.14091291594804842,0.021515767067841713,0.8766056712113922,27.36938538153966,3.261447545788409,0.11916407691042187,0.048076523624550296,12.029998779296875,0.9419052324796979,4.71299934387207,-0.24401629182317394,-1.0644374823939433,1.2196762146527833,0.20504245599067222,1.1326502465177712,1.0977135236641307,1.3525536360787134,4.642999649047852,-2.673000335693363,0.5473684210526316,0.44680851063829785,0.06315789473684211,0.19920249401409063,0.06315789473684211,0.031578947368421054,2.9267432513521157,10.9739990234375,12.029998779296875,0.6268388913599128
ETTm1,4,384,479,2016-07-05T00:00:00,2016-07-05T23:45:00,96,30,0.05,0.05,sum,0.09491350801292468,0.0040142154746091495,0.5785853204274,30.139260431130726,2.2970200988505476,0.0762135521983754,0.031048392331024525,8.442001342773441,0.6153263292814551,2.3220005035400426,-0.8088631966299786,-0.5038231428733511,0.8176176993615603,-0.2381441644334812,0.8975100288284903,0.7927928037555678,0.8955634432446969,3.166000366210941,-2.3909988403320312,0.5555555555555556,0.4157303370786517,0.06315789473684211,0.17421195857075397,0.06315789473684211,0.0,3.9343510932098726,8.442001342773441,8.442001342773441,0.7800729735301214
ETTm1,5,480,575,2016-07-06T00:00:00,2016-07-06T23:45:00,96,30,0.05,0.05,sum,0.05506385304912358,0.0,0.33906798000681876,30.099770685036976,1.3980054970860818,0.04644571918006648,-0.017378739474975344,8.652999877929688,0.5731157403243212,4.431999206542969,-1.078323604679232,3.042197729510991,0.8636470811469511,-0.1587047642978016,1.6392973447499926,0.7447426975113705,1.0782901842988777,-0.4220008850097621,4.150999069213871,0.5411764705882353,0.42857142857142855,0.12631578947368421,0.19321688465797848,0.12631578947368421,0.021052631578947368,4.000007136883935,8.652999877929688,6.402000427246094,0.8680428867450153
ETTm1,6,576,671,2016-07-07T00:00:00,2016-07-07T23:45:00,96,30,0.05,0.05,sum,0.1422713614330264,0.06841866071951956,0.8659225784925619,31.280239423116047,3.723805919275175,0.1190465925696471,0.09006758595185638,14.068998336791992,0.4235789449591384,2.3219985961914062,0.31693563674180875,-0.8559976201406845,0.5833802049126203,-0.41697012814438306,1.2725373525219679,0.5573013189424519,0.6348604053165903,2.1099987030029297,-3.1660022735595703,0.5164835164835165,0.4111111111111111,0.021052631578947368,0.1356675352380381,0.021052631578947368,0.0,3.7447106512562325,8.441999435424805,14.068998336791992,0.7627981601111488
ETTm1,7,672,767,2016-07-08T00:00:00,2016-07-08T23:45:00,96,30,0.05,0.05,sum,0.06772801559394688,0.0,0.40633963896090225,31.360822876294453,1.822116230733085,0.05810167154540451,0.04233624990776813,6.2610015869140625,0.413094530607525,1.1259994506835938,0.5022530412844826,-0.8667114827126974,0.49772215218431637,-0.4771417415088802,1.2952072919585038,0.5122739631731866,0.5105241153322566,-0.5620002746582031,-3.094999313354492,0.5222222222222223,0.5842696629213483,0.08421052631578947,-0.21097459114228445,0.2951851174580739,0.0,2.0497766725722606,4.50200080871582,6.2610015869140625,0.7845550507028555
ETTm1,8,768,863,2016-07-09T00:00:00,2016-07-09T23:45:00,96,30,0.05,0.05,sum,0.04609734804738597,0.0,0.2863794410329341,30.346708357334137,1.2658612064292722,0.04171329526440083,0.024261686572935037,6.190999984741211,0.30064221432334504,1.5480003356933594,0.2548985430382469,-0.4660964239333194,0.417522629728166,-0.5399489079098809,1.1429873246942888,0.42461905971635955,0.47403144344841947,-0.9849987030029261,-1.8990001678466797,0.5121951219512195,0.5308641975308642,0.05263157894736842,-0.17955453516338757,0.232186114110756,0.0,3.999990770879336,4.221000671386719,6.190999984741211,0.9077160523304159
ETTm1,9,864,959,2016-07-10T00:00:00,2016-07-10T23:45:00,96,30,0.05,0.05,sum,0.033885515161460995,0.0,0.22917722513020833,29.36104170481364,0.9413831830264338,0.032062322317108864,0.009997827361215973,4.642999649047852,0.3228631471332748,1.055999755859375,0.2288495364602056,0.07694572743413408,0.4149006859155226,-0.5213706343341237,1.4105039307991103,0.41478785177877714,0.4639865766432495,-0.843999862670902,-1.3369998931884766,0.5294117647058824,0.5119047619047619,0.15789473684210525,-0.2527634361559519,0.4106581729980572,0.0,2.829180282823291,3.798999786376953,4.642999649047852,0.8693978806749073
