dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,batch_size,train_epochs,config_name,activation,encoder_activation,decoder_activation,output_activation,activation_signature,mse_mean,mse_std,mae_mean,mae_std,seed_count,run_count,has_arrays_count,improvement_vs_gelu_mean,improvement_vs_gelu_min,win_rate_vs_gelu,paired_seed_count,patch_len,stride,d_model,n_heads,d_ff,placement,model_scope,model_family,baseline_config,search_space,action,servers
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,0.5324173,0.0256301245055501,0.5224795433333334,0.0135887582627565,3,3,0.0,0.0516948936290327,-0.0304859868957012,0.6666666666666666,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,0.5330212933333334,0.0319377507441355,0.5232973,0.0215065288638032,3,3,0.0,0.0506439297237041,-0.0452485883208423,0.6666666666666666,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,0.5476108000000001,0.0134101675630843,0.5300818466666667,0.0159823046495345,3,3,0.0,0.0229578294844613,-0.0677072141097955,0.6666666666666666,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,0.5497868366666666,0.0150770376509124,0.5347429233333333,0.0110823917826268,3,3,0.0,0.0172625535962516,-0.0929260607565045,0.3333333333333333,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,enc_tanh_dec_gelu,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,0.5506953166666667,0.037028641918464,0.5353101333333333,0.02026637522507,3,3,0.0,0.0213581169171594,-0.0127404635124316,0.6666666666666666,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,swish_all,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,0.5560594499999999,0.0364005276878303,0.5388862433333333,0.0235851775387134,3,3,0.0,0.0085900368384463,-0.1145628781429722,0.6666666666666666,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,other_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,gelu_all,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,0.5646668,0.0643850483608577,0.54134921,0.0358435667102884,3,3,0.0,,,,,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,baseline,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,relu_all,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,0.5829117,0.0741068185290908,0.5467961633333334,0.0428312115369392,3,3,0.0,-0.0313805278200571,-0.0470433924465273,0.0,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,other_linear,
ETTh1,24,48.0,48.0,2.0,1.0,3.0,32,6,tanh_all_outtanh,tanh,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,0.6078469666666666,0.0113596908339678,0.5684820666666667,0.0042124787979683,3,3,0.0,-0.0863143383541068,-0.1675798406492286,0.3333333333333333,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,output_tanh,
ETTh1,48,96.0,48.0,2.0,1.0,5.0,32,6,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,0.6459194633333333,0.0730648849533347,0.6076123333333333,0.0530345290451733,3,3,0.0,0.1264723908947344,0.0530471740091738,1.0,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
ETTh1,48,96.0,48.0,2.0,1.0,5.0,32,6,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,0.6560654,0.0648736974611436,0.6094191566666667,0.0482568894324803,3,3,0.0,0.1130711398133724,0.0748804049942263,1.0,3.0,0,0,0,0,0,,Informer-fullgrid,Informer,gelu_all,fullgrid,bounded_linear,
