dataset,path,pred_len,flag,loader_ok,length,seq_x_shape,seq_y_shape,seq_x_mark_shape,seq_y_mark_shape
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,96,train,True,36696,96x21,144x21,96x5,144x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,96,val,True,5175,96x21,144x21,96x5,144x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,96,test,True,10444,96x21,144x21,96x5,144x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,192,train,True,36600,96x21,240x21,96x5,240x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,192,val,True,5079,96x21,240x21,96x5,240x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,192,test,True,10348,96x21,240x21,96x5,240x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,336,train,True,36456,96x21,384x21,96x5,384x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,336,val,True,4935,96x21,384x21,96x5,384x5
Weather,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Weather/weather.csv,336,test,True,10204,96x21,384x21,96x5,384x5
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,96,train,True,5120,96x8,144x8,96x3,144x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,96,val,True,665,96x8,144x8,96x3,144x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,96,test,True,1422,96x8,144x8,96x3,144x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,192,train,True,5024,96x8,240x8,96x3,240x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,192,val,True,569,96x8,240x8,96x3,240x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,192,test,True,1326,96x8,240x8,96x3,240x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,336,train,True,4880,96x8,384x8,96x3,384x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,336,val,True,425,96x8,384x8,96x3,384x3
Exchange,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/Exchange/exchange_rate.csv,336,test,True,1182,96x8,384x8,96x3,384x3
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,24,train,True,617,36x7,42x7,36x2,42x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,24,val,True,74,36x7,42x7,36x2,42x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,24,test,True,170,36x7,42x7,36x2,42x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,36,train,True,605,36x7,54x7,36x2,54x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,36,val,True,62,36x7,54x7,36x2,54x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,36,test,True,158,36x7,54x7,36x2,54x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,48,train,True,593,36x7,66x7,36x2,66x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,48,val,True,50,36x7,66x7,36x2,66x2
ILI,/Users/tangbao/project/Oscillatory-Neural-Behavior-Leveraging-Dynamic-Activations-for-Improved-Learning-main/ILI/national_illness.csv,48,test,True,146,36x7,66x7,36x2,66x2
