dataset,window_id,start_index,end_index,start_time,end_time,points_per_day,reference_days,alpha,beta,method,volatility,anomaly_density_intensity,turbulence_score,mean,std,cv,trend,range,mean_abs_change,max_abs_change,skewness,kurtosis,realized_volatility,volatility_shock,volatility_ratio_late_early,upside_volatility,downside_volatility,cumulative_change,momentum,trend_consistency,reversal_rate,mean_crossing_rate,lag1_autocorr,mean_reversion_strength,jump_intensity,tail_ratio,max_drawdown,max_drawup,direction_entropy,spectral_entropy,dominant_frequency_energy_ratio,top3_frequency_energy_ratio,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,spectral_centroid,spectral_bandwidth,spectral_flatness,daily_cycle_energy_ratio
Exchange,0,0,0,1990-01-01T00:00:00,1990-01-01T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,1,1,1,1990-01-02T00:00:00,1990-01-02T00:00:00,1,30,0.05,0.05,sum,0.0,99998.00000000009,4999.950000000004,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,2,2,2,1990-01-03T00:00:00,1990-01-03T00:00:00,1,30,0.05,0.05,sum,0.0,5.599848003040205,0.32999240015201026,0.5973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,3,3,3,1990-01-04T00:00:00,1990-01-04T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999913044234399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,4,4,4,1990-01-05T00:00:00,1990-01-05T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999932817561998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,5,5,5,1990-01-06T00:00:00,1990-01-06T00:00:00,1,30,0.05,0.05,sum,0.0,1.8388386499597749,0.14194193249798875,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999922545773772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,6,6,6,1990-01-07T00:00:00,1990-01-07T00:00:00,1,30,0.05,0.05,sum,0.0,0.7290502648636537,0.08645251324318269,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999950346613904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,7,7,7,1990-01-08T00:00:00,1990-01-08T00:00:00,1,30,0.05,0.05,sum,0.0,0.05481710901482861,0.05274085545074143,0.6084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999946308878751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,8,8,8,1990-01-09T00:00:00,1990-01-09T00:00:00,1,30,0.05,0.05,sum,0.0,0.1221939258400302,0.056109696292001514,0.6115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999943020036444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,9,9,9,1990-01-10T00:00:00,1990-01-10T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999940063073283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,10,10,10,1990-01-11T00:00:00,1990-01-11T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999954173604408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,11,11,11,1990-01-12T00:00:00,1990-01-12T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999952435076828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exchange,12,12,12,1990-01-13T00:00:00,1990-01-13T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,0.6106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999950118628724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
