dataset,window_id,start_index,end_index,start_time,end_time,points_per_day,reference_days,alpha,beta,method,volatility,anomaly_density_intensity,turbulence_score,mean,std,cv,trend,range,mean_abs_change,max_abs_change,skewness,kurtosis,realized_volatility,volatility_shock,volatility_ratio_late_early,upside_volatility,downside_volatility,cumulative_change,momentum,trend_consistency,reversal_rate,mean_crossing_rate,lag1_autocorr,mean_reversion_strength,jump_intensity,tail_ratio,max_drawdown,max_drawup,direction_entropy,spectral_entropy,dominant_frequency_energy_ratio,top3_frequency_energy_ratio,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,spectral_centroid,spectral_bandwidth,spectral_flatness,daily_cycle_energy_ratio
ILI,0,0,0,2002-01-01T00:00:00,2002-01-01T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,176569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,1,1,1,2002-01-08T00:00:00,2002-01-08T00:00:00,1,30,0.05,0.05,sum,0.0,978599999998.0,48929999999.950005,186355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,2,2,2,2002-01-15T00:00:00,2002-01-15T00:00:00,1,30,0.05,0.05,sum,0.0,0.24954015940680652,0.06247700797034033,192469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,3,3,3,2002-01-22T00:00:00,2002-01-22T00:00:00,1,30,0.05,0.05,sum,0.0,1.4176800078860015,0.12088400039430008,207512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999945535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,4,4,4,2002-01-29T00:00:00,2002-01-29T00:00:00,1,30,0.05,0.05,sum,0.0,0.8927455447255612,0.09463727723627807,223208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999972711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,5,5,5,2002-02-05T00:00:00,2002-02-05T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,229454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999974601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,6,6,6,2002-02-12T00:00:00,2002-02-12T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,223712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999999999997581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,7,7,7,2002-02-19T00:00:00,2002-02-19T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,223818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999986029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,8,8,8,2002-02-26T00:00:00,2002-02-26T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,188814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999986033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,9,9,9,2002-03-05T00:00:00,2002-03-05T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,243078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999993484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,10,10,10,2002-03-12T00:00:00,2002-03-12T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,235136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999995455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,11,11,11,2002-03-19T00:00:00,2002-03-19T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,216179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999999999999532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,12,12,12,2002-03-26T00:00:00,2002-03-26T00:00:00,1,30,0.05,0.05,sum,0.0,1.3011825504965113,0.11505912752482557,144287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999995368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,13,13,13,2002-04-02T00:00:00,2002-04-02T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,171193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999996595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,14,14,14,2002-04-09T00:00:00,2002-04-09T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,234513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999996587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,15,15,15,2002-04-16T00:00:00,2002-04-16T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,231550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999996938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,16,16,16,2002-04-23T00:00:00,2002-04-23T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,235566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999996835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILI,17,17,17,2002-04-30T00:00:00,2002-04-30T00:00:00,1,30,0.05,0.05,sum,0.0,0.0,0.0,246969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999996732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
