date,Total_Irradiance,Global_Irradiance,Direct_Irradiance,Temperature,Atmosphere,Power
2019-01-01 00:00:00,0,0,0,57.6,1028.9,0.0
2019-01-01 00:15:00,0,0,0,58.3,1028.7,0.0
2019-01-01 00:30:00,0,0,0,58.0,1028.7,0.0
2019-01-01 00:45:00,0,0,0,57.2,1028.6,0.0
2019-01-01 01:00:00,0,0,0,56.9,1028.6,0.0
2019-01-01 01:15:00,0,0,0,56.1,1028.4,0.0
2019-01-01 01:30:00,0,0,0,56.9,1028.3,0.0
2019-01-01 01:45:00,0,0,0,57.7,1028.2,0.0
2019-01-01 02:00:00,0,0,33,57.9,1028.2,0.0
2019-01-01 02:15:00,0,0,0,57.6,1028.0,0.0
2019-01-01 02:30:00,0,0,0,57.8,1028.2,0.0
2019-01-01 02:45:00,0,0,33,56.9,1028.0,0.0
2019-01-01 03:00:00,0,0,0,57.0,1027.9,0.0
2019-01-01 03:15:00,0,0,0,57.7,1027.7,0.0
2019-01-01 03:30:00,0,0,0,58.9,1027.6,0.0
2019-01-01 03:45:00,0,0,0,59.0,1027.5,0.0
2019-01-01 04:00:00,0,0,0,59.4,1027.4,0.0
2019-01-01 04:15:00,0,0,0,59.2,1027.0,0.0
2019-01-01 04:30:00,0,0,0,58.5,1026.9,0.0
2019-01-01 04:45:00,0,0,0,58.3,1026.9,0.0
2019-01-01 05:00:00,0,0,0,58.9,1027.1,0.0
2019-01-01 05:15:00,0,0,0,59.2,1027.1,0.0
2019-01-01 05:30:00,0,0,0,59.4,1027.1,0.0
2019-01-01 05:45:00,0,0,0,59.4,1027.2,0.0
2019-01-01 06:00:00,0,0,0,58.8,1026.9,0.0
2019-01-01 06:15:00,0,0,0,58.2,1026.9,0.0
2019-01-01 06:30:00,0,0,0,57.2,1026.6,0.0
2019-01-01 06:45:00,0,0,39,57.4,1026.7,0.0
2019-01-01 07:00:00,0,0,0,57.2,1026.6,0.0
2019-01-01 07:15:00,0,0,0,57.7,1026.5,0.0
2019-01-01 07:30:00,47,0,0,57.4,1026.6,0.1001805
2019-01-01 07:45:00,124,0,0,56.2,1026.6,0.404985
2019-01-01 08:00:00,206,33,30,56.8,1026.7,1.0252515
2019-01-01 08:15:00,281,40,0,56.5,1026.8,1.9375335
2019-01-01 08:30:00,368,45,0,54.7,1026.8,2.9478645
2019-01-01 08:45:00,433,47,0,53.5,1026.7,4.0647705
2019-01-01 09:00:00,506,50,0,53.0,1026.9,8.206275
2019-01-01 09:15:00,565,55,33,52.6,1027.1,9.3508905
2019-01-01 09:30:00,620,57,0,51.1,1027.2,8.317113
2019-01-01 09:45:00,681,58,0,51.0,1026.9,5.516322
2019-01-01 10:00:00,716,63,0,50.3,1027.0,5.844573
2019-01-01 10:15:00,744,67,0,49.2,1027.1,5.7188145
2019-01-01 10:30:00,778,69,0,47.3,1027.1,8.582231
2019-01-01 10:45:00,799,77,0,46.8,1026.9,7.8886815
2019-01-01 11:00:00,822,74,0,46.9,1026.6,11.910822
2019-01-01 11:15:00,855,71,0,46.1,1026.1,12.120521
2019-01-01 11:30:00,863,73,0,45.3,1026.0,12.2170475
2019-01-01 11:45:00,878,72,0,44.5,1025.6,21.1315895
2019-01-01 12:00:00,875,75,0,44.6,1025.6,20.338773
2019-01-01 12:15:00,869,77,0,43.9,1025.7,21.285159
2019-01-01 12:30:00,862,76,0,44.2,1025.3,20.628657
2019-01-01 12:45:00,867,75,0,44.1,1025.1,20.6521035
2019-01-01 13:00:00,826,79,31,46.6,1024.8,20.368614
2019-01-01 13:15:00,784,81,0,45.4,1024.5,19.746216
2019-01-01 13:30:00,748,82,0,43.0,1024.6,19.004454
2019-01-01 13:45:00,715,80,40,39.7,1024.5,17.908863
2019-01-01 14:00:00,671,79,0,44.4,1024.4,16.4914155
2019-01-01 14:15:00,639,77,0,46.8,1024.5,15.065442000000001
2019-01-01 14:30:00,569,73,0,47.3,1024.4,14.0146125
2019-01-01 14:45:00,532,74,0,48.2,1024.5,12.887049
2019-01-01 15:00:00,482,70,0,51.5,1024.3,11.1285615
2019-01-01 15:15:00,420,66,0,48.9,1024.6,9.173976
2019-01-01 15:30:00,344,62,45,48.7,1024.7,3.994431
2019-01-01 15:45:00,271,56,43,49.2,1024.7,2.7517665
2019-01-01 16:00:00,197,48,43,49.9,1024.8,1.854405
2019-01-01 16:15:00,132,37,33,49.6,1024.9,0.9570435
2019-01-01 16:30:00,68,0,52,52.5,1025.0,0.3389085
2019-01-01 16:45:00,0,0,0,55.5,1025.1,0.174783
