dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label,cell,method,change_pct
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,0.683186948,0.0439260627440094,0.604564831,0.0220969861920225,3,1,0.0686626703479372,0.9,strong_effective,ETTh1 / 24,Lee1,6.8662670347937205
ETTh1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.7122067166666667,0.0412086212949527,0.62320732,0.0216956547050601,3,1,0.0460677329643115,0.6666666666666666,effective,ETTh1 / 24,softsign,4.60677329643115
ETTh1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.6869114344444445,0.0434347973142364,0.6085168822222222,0.0206166186711162,3,1,0.0625615287869343,0.7777777777777778,effective,ETTh1 / 24,tanh,6.25615287869343
Solar1,24,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,0.1624570333333333,0.0018626593639829,0.17965636,0.0020399570373662,3,1,0.0594651741998811,1.0,strong_effective,Solar1 / 24,Lee1,5.94651741998811
Solar1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.1657587066666666,0.0047279703832652,0.1843263433333333,0.0021947575486675,3,1,0.0402945037282308,1.0,effective,Solar1 / 24,softsign,4.02945037282308
Solar1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.1647870822222222,0.0046983375686054,0.1837790477777777,0.0041259683178278,6,2,0.0513631306137093,1.0,strong_effective,Solar1 / 24,tanh,5.13631306137093
Solar1,96,M,lee,lee_oc,0.0,1.0,0.0,1,gelu,0.2537934633333333,0.0071312632903948,0.2478806,0.0028555196390324,3,1,0.1191046082171589,1.0,strong_effective,Solar1 / 96,Lee1,11.91046082171589
Solar1,96,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.2428794666666666,0.0021438226881515,0.24264038,0.002910565106487,3,1,0.1571179266422809,1.0,strong_effective,Solar1 / 96,softsign,15.711792664228089
Solar1,96,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.2508926775,0.0083388138411942,0.2453878883333333,0.0018468347166083,6,2,0.1283824730092121,1.0,strong_effective,Solar1 / 96,tanh,12.83824730092121
Solar5,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.1170652146666666,0.0049597434318647,0.1760776466666666,0.0068318245440755,3,1,0.0810127527620346,1.0,strong_effective,Solar5 / 24,softsign,8.10127527620346
Solar5,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.1156258206666666,0.0044396979600457,0.173165645,0.004606966936646,6,2,0.1047520679978429,1.0,strong_effective,Solar5 / 24,tanh,10.47520679978429
Solar5,96,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.2046223566666666,0.0072235709088534,0.24299643,0.0007586822384239,3,1,0.133367799515734,1.0,strong_effective,Solar5 / 96,softsign,13.3367799515734
Solar5,96,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.2037766822222222,0.0063863753496403,0.2436711155555555,0.0045606299522629,6,2,0.1439441852970391,1.0,strong_effective,Solar5 / 96,tanh,14.39441852970391
