dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label,cell,method,change_pct
ETTh1,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,1.1794004666666666,0.0479822374524503,0.8737608133333333,0.0146107044633218,3,1,-0.0052441836261331,0.3333333333333333,ineffective,ETTh1 / 168,cos a=0.01,-0.52441836261331
ETTh1,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,1.1731152333333332,0.0590607011348775,0.8693217333333333,0.024864915885909,3,1,0.0003817574788467,0.3333333333333333,ineffective,ETTh1 / 168,cos a=0.1,0.03817574788467
ETTh1,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,1.1830498,0.0561591988878046,0.8758701533333334,0.0202614622850507,3,1,-0.0081237841138503,0.0,ineffective,ETTh1 / 168,rand a=0.01,-0.8123784113850299
ETTh1,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,1.1814970666666669,0.0460762421976155,0.8746960566666666,0.0203970357166975,3,1,-0.0071274400883134,0.6666666666666666,ineffective,ETTh1 / 168,rand a=0.1,-0.7127440088313399
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,ETTh1 / 168,sin a=0.01,0.6026229512130901
ETTh1,168,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,1.1301632888888888,0.0831335073113188,0.8535014933333334,0.0347445481849066,4,3,5.46062650939031e-05,0.3333333333333333,ineffective,ETTh1 / 168,sin a=0.1,0.00546062650939031
ETTh2,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,5.116498666666667,0.5316269688487628,1.9933934666666664,0.1283337474488036,3,1,-0.051628706432837,0.3333333333333333,negative,ETTh2 / 168,cos a=0.01,-5.1628706432837
ETTh2,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,5.1596003999999995,0.5830988688503091,1.9993421333333337,0.134077332729188,3,1,-0.0581201997659986,0.0,negative,ETTh2 / 168,cos a=0.1,-5.81201997659986
ETTh2,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,4.956275833333334,0.6012498424774212,1.9618962,0.136644878613397,3,1,-0.0158777898143715,0.0,ineffective,ETTh2 / 168,rand a=0.01,-1.5877789814371501
ETTh2,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,5.6574025,0.4547795095749697,2.1003411,0.1134444836443357,3,1,-0.1650579573015652,0.0,negative,ETTh2 / 168,rand a=0.1,-16.50579573015652
ETTh2,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,4.080989175,0.6653595428025595,1.7375107916666668,0.1740551439991854,6,3,-0.0200066484824921,0.4166666666666667,negative,ETTh2 / 168,sin a=0.01,-2.00066484824921
ETTh2,168,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,4.650137099999999,0.7737172440874869,1.8784117,0.1804035553311186,3,2,-0.0622575248257864,0.1666666666666666,negative,ETTh2 / 168,sin a=0.1,-6.22575248257864
Solar1,24,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.1652218333333333,0.0019011086181839,0.1818871133333333,0.0017101861575376,3,1,0.008466599366928,0.6666666666666666,ineffective,Solar1 / 24,cos a=0.01,0.8466599366928
Solar1,24,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.1647580766666666,0.0057733853880053,0.1801499266666666,0.0027822680804037,3,1,0.0113421497509224,0.6666666666666666,mixed,Solar1 / 24,cos a=0.1,1.13421497509224
Solar1,24,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.1670024033333333,0.0045657481575567,0.18109023,0.0019089035814047,3,1,-0.0022216441580965,0.6666666666666666,ineffective,Solar1 / 24,rand a=0.01,-0.22216441580965
