dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low,grad_pct,label
Solar1,24,tanh_sin,sin_perturb,0.1,1,tanh,turbulence_score,10.20.12.248,41952,3,-0.3685782180133286,-0.5698439112047008,-0.2012656931913722,0.0695421919226646,-0.1246682852506637,-0.1942104771733283,0.5193178790301093,0.4682829837726894,-0.0510348952574198,-0.0684111317440361,-0.1208766999614095,-0.0524655682173734,0.0437425635755062,-0.0504966266453266,-0.0942391902208328,0.5401012523314681,0.486819318837791,-0.0532819334936771,-20.126569319137218,Solar1 / 24 / sin a=0.1 / turbulence_score / 10.20.12.248
Solar5,96,tanh_sin,sin_perturb,0.1,1,tanh,volatility,10.21.53.162,41760,3,-0.1557149145252847,-0.3213314761389336,-0.1656165616136489,0.0125813474878668,0.0083231767639517,-0.0042581707239151,0.5366922234392114,0.4836863890917945,-0.0530058343474169,-0.1208381839958643,-0.1570352037254276,-0.0361970197295632,-0.0187164787203073,-0.0007551221642643,0.017961356556043,0.4900739320920044,0.4547114682249817,-0.0353624638670226,-16.56165616136489,Solar5 / 96 / sin a=0.1 / volatility / 10.21.53.162
ETTh1,168,lee,lee_oc,0.0,1,tanh,volatility,10.21.53.62,8112,3,0.0974028900430705,-0.0443895262195298,-0.1417924162626003,0.1134558990597724,-0.0352841764688491,-0.1487400755286215,0.685168054270737,0.3976207642393655,-0.2875472900313715,0.0069386921131141,0.0031991433056852,-0.0037395488074289,0.0092353159561753,0.005968396551907,-0.0032669194042682,0.5720012334258403,0.5310021629416006,-0.0409990704842396,-14.17924162626003,ETTh1 / 168 / Lee1 / volatility / 10.21.53.62
Solar1,24,tanh_sin,sin_perturb,0.01,1,tanh,turbulence_score,10.21.53.142,41952,3,-0.2050402897576336,-0.3309957342521235,-0.1259554444944898,-0.0005630797240883,0.0895081534981727,0.090071233222261,0.5560658247225412,0.5444708937459425,-0.0115949309765986,-0.0586070323626939,-0.0355552571380541,0.0230517752246397,-0.0102529451251029,0.009544682689011,0.0197976278141139,0.5378874856486797,0.5684195340113972,0.0305320483627175,-12.595544449448981,Solar1 / 24 / sin a=0.01 / turbulence_score / 10.21.53.142
ETTh1,168,lee,lee_oc,0.0,3,tanh,turbulence_score,10.21.53.113,8112,3,0.5140907897940266,0.3957345478562354,-0.1183562419377911,0.6006574034690857,0.5709472298622131,-0.0297101736068725,0.9198626216370922,0.863013698630137,-0.0568489230069552,-0.0790126013182667,-0.0177792093714214,0.0612333919468453,-0.0196386873722076,0.0103682950139045,0.0300069823861121,0.4413279908414425,0.5570776255707762,0.1157496347293337,-11.83562419377911,ETTh1 / 168 / Lee3 / turbulence_score / 10.21.53.113
Solar1,96,lee,lee_oc,0.0,1,tanh,volatility,10.20.12.248,41760,3,-0.2226572644719504,-0.1152459918141167,0.1074112726578336,-0.0831627249717712,-0.0381607599556446,0.0450019650161266,0.4203271028037383,0.483451072736787,0.0631239699330487,-0.0902868997899737,-0.0410872856477483,0.0491996141422254,-0.0402153171598911,0.0011318528559058,0.0413471700157969,0.4010514018691589,0.5145211930926217,0.1134697912234627,10.74112726578336,Solar1 / 96 / Lee1 / volatility / 10.20.12.248
Solar5,24,tanh_sin,sin_perturb,0.1,1,tanh,volatility,10.21.53.142,41952,3,-0.3354989681758873,-0.2252731084291139,0.1102258597467734,0.067583680152893,0.0016749331261962,-0.0659087470266968,0.5465551248044617,0.539410348977136,-0.0071447758273256,-0.1242211853946998,-0.0941470139327589,0.0300741714619409,0.0618947222828865,0.0080476105213165,-0.05384711176157,0.5430184316125961,0.5098676293622142,-0.0331508022503819,11.022585974677341,Solar5 / 24 / sin a=0.1 / volatility / 10.21.53.142
ETTh2,168,lee,lee_oc,0.0,3,tanh,volatility,10.21.53.62,8112,3,0.329712396253408,0.443564042132552,0.113851645879144,0.3577607870101928,0.4594860076904297,0.1017252206802368,0.9128281327389796,0.9298245614035088,0.0169964286645292,0.1239012880384582,0.1107633646041473,-0.0131379234343108,0.169521763920784,0.1553521454334259,-0.014169618487358,0.7028231797919762,0.6828070175438596,-0.0200161622481165,11.3851645879144,ETTh2 / 168 / Lee3 / volatility / 10.21.53.62
Solar5,96,tanh_sin,sin_perturb,0.01,1,tanh,volatility,10.21.53.162,41760,3,-0.3178022665747372,-0.2024167893555452,0.115385477219192,-0.0167552325874567,0.0273001976311206,0.0440554302185773,0.4871987951807229,0.4870343316289262,-0.0001644635517967,-0.1322384638457387,-0.0717504614535505,0.0604880023921882,-0.0223383400589227,0.0326727107167243,0.055011050775647,0.4835706462212486,0.4920866812758704,0.0085160350546217,11.5385477219192,Solar5 / 96 / sin a=0.01 / volatility / 10.21.53.162
Solar5,96,tanh_sin,sin_perturb,0.01,1,tanh,turbulence_score,10.21.53.162,41760,3,-0.3155324091364206,-0.1652671878027307,0.1502652213336899,-0.0186230689287185,0.0299986880272626,0.0486217569559811,0.4894925679138903,0.4832687060175212,-0.006223861896369,-0.13769616034422,-0.072266971804018,0.065429188540202,-0.0231258533895015,0.037101075053215,0.0602269284427165,0.4825445640412324,0.4807554215137153,-0.0017891425275171,15.026522133368992,Solar5 / 96 / sin a=0.01 / turbulence_score / 10.21.53.162
