dataset,pred_len,seq_len,label_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,batch_size,train_epochs,config_name,activation_signature,placement,seed_count,mse_mean,mse_std,mae_mean,mae_std
ETTh2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.3015976250171661,,0.3514589667320251,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,1,0.2996672689914703,,0.3488405048847198,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,relu_ffn_linear,act=relu|ffn=relu|out=linear|a=0,ffn_linear,1,0.3015280365943908,,0.3516058921813965,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,relu_ffn_outtanh,act=relu|ffn=relu|out=tanh|a=0,ffn_outtanh,1,0.2997343838214874,,0.3489730954170227,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.3027016818523407,,0.3505314588546753,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_outtanh,act=softsign|ffn=softsign|out=tanh|a=0,ffn_outtanh,1,0.301622062921524,,0.348933607339859,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,swish_ffn_linear,act=swish|ffn=swish|out=linear|a=0,ffn_linear,1,0.3016811907291412,,0.3508877456188202,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,swish_ffn_outtanh,act=swish|ffn=swish|out=tanh|a=0,ffn_outtanh,1,0.3000729382038116,,0.348644882440567,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.302766889333725,,0.3503179550170898,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,1,0.3019934892654419,,0.3489144742488861,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.3027727901935577,,0.3503126800060272,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_outtanh,act=tanh_sin001|ffn=tanh_sin001|out=tanh|a=0.01,ffn_outtanh,1,0.3020112514495849,,0.3489163517951965,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.1842259466648101,,0.2691440284252167,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,1,0.1850590407848358,,0.2694789469242096,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,relu_ffn_linear,act=relu|ffn=relu|out=linear|a=0,ffn_linear,1,0.1843142211437225,,0.2692257761955261,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,relu_ffn_outtanh,act=relu|ffn=relu|out=tanh|a=0,ffn_outtanh,1,0.1851396858692169,,0.2696440815925598,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.1842130720615387,,0.2685910761356354,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_outtanh,act=softsign|ffn=softsign|out=tanh|a=0,ffn_outtanh,1,0.1848736852407455,,0.2687351703643799,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,swish_ffn_linear,act=swish|ffn=swish|out=linear|a=0,ffn_linear,1,0.1840196102857589,,0.2688771486282348,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,swish_ffn_outtanh,act=swish|ffn=swish|out=tanh|a=0,ffn_outtanh,1,0.1848336607217788,,0.2691372334957123,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.1838776022195816,,0.2682396471500397,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,1,0.1847094297409057,,0.2685062885284424,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.1838691085577011,,0.2682293057441711,
ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_outtanh,act=tanh_sin001|ffn=tanh_sin001|out=tanh|a=0.01,ffn_outtanh,1,0.1847056299448013,,0.2685017883777618,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.414091557264328,,0.4065375030040741,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,1,0.4109402000904083,,0.404696375131607,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,relu_ffn_linear,act=relu|ffn=relu|out=linear|a=0,ffn_linear,1,0.4144598543643951,,0.406553566455841,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,relu_ffn_outtanh,act=relu|ffn=relu|out=tanh|a=0,ffn_outtanh,1,0.4107796549797058,,0.4045779109001159,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.4154503345489502,,0.4068096280097961,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,softsign_ffn_outtanh,act=softsign|ffn=softsign|out=tanh|a=0,ffn_outtanh,1,0.4096701145172119,,0.4029985964298248,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,swish_ffn_linear,act=swish|ffn=swish|out=linear|a=0,ffn_linear,1,0.4140563607215881,,0.4062260687351227,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,swish_ffn_outtanh,act=swish|ffn=swish|out=tanh|a=0,ffn_outtanh,1,0.4103966057300567,,0.4043412804603576,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.4144836366176605,,0.4059429168701172,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,1,0.408508151769638,,0.4024522304534912,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.4144042432308197,,0.4058984220027923,
ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_outtanh,act=tanh_sin001|ffn=tanh_sin001|out=tanh|a=0.01,ffn_outtanh,1,0.4085274934768677,,0.4024664759635925,
