dataset,pred_len,seq_len,label_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,batch_size,train_epochs,activation_signature,placement,seed,setting,stage,model,data,data_path,features,target,freq,dropout,learning_rate,activation,config_name,mse,mae,rmse,mape,mspe,server_id,server_ip,run_id,des,config_path,pred_path,true_path,summary_path,output_activation
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,gelu,gelu_ffn_linear,0.3015976250171661,0.3514589667320251,0.5491790175437927,1.4846479892730713,475.3894958496094,4090-82,10.21.53.82,itransformer_smoke_20260521_actfix2,itransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2024,ETTh2_pl96_gelu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_gelu_ffn_outtanh_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,gelu,gelu_ffn_outtanh,0.2996672689914703,0.3488405048847198,0.5474187135696411,1.4686626195907593,442.4791259765625,4090-82,10.21.53.82,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_gelu_ffn_outtanh_s2024,./results/ETTh2_pl96_gelu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_gelu_ffn_outtanh_s2024_projection_0/config.json,./results/ETTh2_pl96_gelu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_gelu_ffn_outtanh_s2024_projection_0/pred.npy,./results/ETTh2_pl96_gelu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_gelu_ffn_outtanh_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.82/results/summary.csv,tanh
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=relu|ffn=relu|out=linear|a=0,ffn_linear,2024,ETTh2_pl96_relu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_linear_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,relu,relu_ffn_linear,0.3015280365943908,0.3516058921813965,0.5491156578063965,1.4854804277420044,469.8997802734375,4090-113,10.21.53.113,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_relu_ffn_linear_s2024,./results/ETTh2_pl96_relu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_relu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_relu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.113/results/summary.csv,linear
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=relu|ffn=relu|out=tanh|a=0,ffn_outtanh,2024,ETTh2_pl96_relu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_outtanh_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,relu,relu_ffn_outtanh,0.2997343838214874,0.3489730954170227,0.547480046749115,1.4699866771697998,441.47955322265625,4090-142,10.21.53.142,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_relu_ffn_outtanh_s2024,./results/ETTh2_pl96_relu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_outtanh_s2024_projection_0/config.json,./results/ETTh2_pl96_relu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_outtanh_s2024_projection_0/pred.npy,./results/ETTh2_pl96_relu_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_relu_ffn_outtanh_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.142/results/summary.csv,tanh
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,softsign,softsign_ffn_linear,0.3027016818523407,0.3505314588546753,0.5501832962036133,1.459874987602234,463.2190856933594,4090-82,10.21.53.82,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=softsign|ffn=softsign|out=tanh|a=0,ffn_outtanh,2024,ETTh2_pl96_softsign_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_softsign_ffn_outtanh_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,softsign,softsign_ffn_outtanh,0.301622062921524,0.348933607339859,0.5492013096809387,1.4463584423065186,423.9889221191406,4090-162,10.21.53.162,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_softsign_ffn_outtanh_s2024,./results/ETTh2_pl96_softsign_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_softsign_ffn_outtanh_s2024_projection_0/config.json,./results/ETTh2_pl96_softsign_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_softsign_ffn_outtanh_s2024_projection_0/pred.npy,./results/ETTh2_pl96_softsign_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_softsign_ffn_outtanh_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.162/results/summary.csv,tanh
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=swish|ffn=swish|out=linear|a=0,ffn_linear,2024,ETTh2_pl96_swish_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_linear_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,swish,swish_ffn_linear,0.3016811907291412,0.3508877456188202,0.5492551326751709,1.4755241870880127,473.5069274902344,4090-82,10.21.53.82,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_swish_ffn_linear_s2024,./results/ETTh2_pl96_swish_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_swish_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_swish_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.82/results/summary.csv,linear
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=swish|ffn=swish|out=tanh|a=0,ffn_outtanh,2024,ETTh2_pl96_swish_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_outtanh_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,swish,swish_ffn_outtanh,0.3000729382038116,0.348644882440567,0.5477891564369202,1.4608964920043943,438.02105712890625,4090-113,10.21.53.113,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_swish_ffn_outtanh_s2024,./results/ETTh2_pl96_swish_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_outtanh_s2024_projection_0/config.json,./results/ETTh2_pl96_swish_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_outtanh_s2024_projection_0/pred.npy,./results/ETTh2_pl96_swish_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_swish_ffn_outtanh_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.113/results/summary.csv,tanh
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,tanh,tanh_ffn_linear,0.302766889333725,0.3503179550170898,0.5502426028251648,1.4558372497558594,463.2430114746094,4090-113,10.21.53.113,itransformer_smoke_20260521_actfix2,itransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv,
ETTh2,96,96,48,2,1,128,8,128,1,32,10,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,2024,ETTh2_pl96_tanh_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_tanh_ffn_outtanh_s2024_projection_0,placement_probe,iTransformer,ETTh2,ETTh2.csv,M,OT,h,0.1,0.0001,tanh,tanh_ffn_outtanh,0.3019934892654419,0.3489144742488861,0.54953932762146,1.444503903388977,424.9702453613281,4090-142,10.21.53.142,itransformer_placeprobe_20260522,itransformer_placeprobe_20260522_tanh_ffn_outtanh_s2024,./results/ETTh2_pl96_tanh_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_tanh_ffn_outtanh_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_tanh_ffn_outtanh_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_ffn_outtanh_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_placeprobe_20260522_tanh_ffn_outtanh_s2024_projection_0/true.npy,itransformer_remote_results/placeprobe_20260522/10.21.53.142/results/summary.csv,tanh
