stage,dataset,pred_len,seq_len,label_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,batch_size,train_epochs,config_name,activation_signature,placement,seed_count,mse_mean,mse_std,mae_mean,mae_std
stage1,ETTh2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.3015976250171661,,0.3514589667320251,
stage1,ETTh2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.3027016818523407,,0.3505314588546753,
stage1,ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.302766889333725,,0.3503179550170898,
stage1,ETTh2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.3027727901935577,,0.3503126800060272,
stage1,ETTh2,336,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.4228940308094024,,0.4321351647377014,
stage1,ETTh2,336,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.4282671809196472,,0.4339884519577026,
stage1,ETTh2,336,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.4293838441371918,,0.4340906143188476,
stage1,ETTh2,336,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.4294188320636749,,0.4340952038764953,
stage1,ETTh2,720,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.4289864897727966,,0.4472371935844421,
stage1,ETTh2,720,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.4336353540420532,,0.4495232999324798,
stage1,ETTh2,720,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.4365032613277435,,0.4505564868450165,
stage1,ETTh2,720,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.4365783631801605,,0.4505821466445923,
stage1,ETTm2,96,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.1842259466648101,,0.2691440284252167,
stage1,ETTm2,96,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.1842130720615387,,0.2685910761356354,
stage1,ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.1838776022195816,,0.2682396471500397,
stage1,ETTm2,96,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.1838691085577011,,0.2682293057441711,
stage1,ETTm2,336,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.3134183883666992,,0.3513455986976623,
stage1,ETTm2,336,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.3156466782093048,,0.3526057600975036,
stage1,ETTm2,336,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.3155735731124878,,0.3526294529438019,
stage1,ETTm2,336,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.3155714869499206,,0.3526275157928467,
stage1,ETTm2,720,96,48,2,1,128,8,128,1,32,10,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,1,0.414091557264328,,0.4065375030040741,
stage1,ETTm2,720,96,48,2,1,128,8,128,1,32,10,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,1,0.4154503345489502,,0.4068096280097961,
stage1,ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,1,0.4144836366176605,,0.4059429168701172,
stage1,ETTm2,720,96,48,2,1,128,8,128,1,32,10,tanh_sin001_ffn_linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,1,0.4144042432308197,,0.4058984220027923,
