setting,stage,model,dataset,data,data_path,features,target,freq,seq_len,label_len,pred_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,dropout,batch_size,train_epochs,learning_rate,activation,activation_signature,placement,config_name,seed,mse,mae,rmse,mape,mspe,server_id,server_ip,run_id,des,config_path,pred_path,true_path,summary_path
ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,96,2,1,128,8,128,1,0.1,32,10,0.0001,gelu,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,gelu_ffn_linear,2024,0.3015976250171661,0.3514589667320251,0.5491790175437927,1.4846479892730713,475.3894958496094,4090-82,10.21.53.82,itransformer_smoke_20260521_actfix2,itransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv
ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,96,2,1,128,8,128,1,0.1,32,10,0.0001,softsign,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,softsign_ffn_linear,2024,0.3027016818523407,0.3505314588546753,0.5501832962036133,1.459874987602234,463.2190856933594,4090-82,10.21.53.82,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv
ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,96,2,1,128,8,128,1,0.1,32,10,0.0001,tanh,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,tanh_ffn_linear,2024,0.302766889333725,0.3503179550170898,0.5502426028251648,1.4558372497558594,463.2430114746094,4090-113,10.21.53.113,itransformer_smoke_20260521_actfix2,itransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv
ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,96,2,1,128,8,128,1,0.1,32,10,0.0001,tanh_sin001,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,tanh_sin001_ffn_linear,2024,0.3027727901935577,0.3503126800060272,0.5502479076385498,1.4557212591171265,463.2433166503906,4090-113,10.21.53.113,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv
ETTh2_pl336_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,336,2,1,128,8,128,1,0.1,32,10,0.0001,gelu,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,gelu_ffn_linear,2024,0.4228940308094024,0.4321351647377014,0.6503030061721802,1.7722831964492798,480.677734375,4090-142,10.21.53.142,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024,./results/ETTh2_pl336_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl336_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.142/results/summary.csv
ETTh2_pl336_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,336,2,1,128,8,128,1,0.1,32,10,0.0001,softsign,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,softsign_ffn_linear,2024,0.4282671809196472,0.4339884519577026,0.6544212698936462,1.764556050300598,474.6606750488281,4090-162,10.21.53.162,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024,./results/ETTh2_pl336_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl336_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl336_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.162/results/summary.csv
ETTh2_pl336_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,336,2,1,128,8,128,1,0.1,32,10,0.0001,tanh,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,tanh_ffn_linear,2024,0.4293838441371918,0.4340906143188476,0.6552738547325134,1.7610334157943726,472.8946228027344,4090-82,10.21.53.82,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024,./results/ETTh2_pl336_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl336_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl336_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv
ETTh2_pl336_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,336,2,1,128,8,128,1,0.1,32,10,0.0001,tanh_sin001,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,tanh_sin001_ffn_linear,2024,0.4294188320636749,0.4340952038764953,0.6553005576133728,1.7609541416168213,472.8514099121094,4090-113,10.21.53.113,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024,./results/ETTh2_pl336_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl336_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl336_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll336_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv
ETTh2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,720,2,1,128,8,128,1,0.1,32,10,0.0001,gelu,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,gelu_ffn_linear,2024,0.4289864897727966,0.4472371935844421,0.6549705862998962,2.041867733001709,616.3617553710938,4090-142,10.21.53.142,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024,./results/ETTh2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.142/results/summary.csv
ETTh2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,stage1,iTransformer,ETTh2,ETTh2,ETTh2.csv,M,OT,h,96,48,720,2,1,128,8,128,1,0.1,32,10,0.0001,softsign,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,softsign_ffn_linear,2024,0.4336353540420532,0.4495232999324798,0.6585099697113037,2.035317897796631,614.0555419921875,4090-162,10.21.53.162,itransformer_stage1_20260521_actfix3,itransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024,./results/ETTh2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.162/results/summary.csv
