dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,config_name,activation_signature,placement,seed_count,mse_mean,mse_std,mae_mean,mae_std
ETTh2,336,336,16,8,3,16,4,128,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.3373213112354278,0.0024983937899927806,0.38595449924468994,0.0026072780931887937
ETTh2,336,336,16,8,3,16,4,128,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.3407231271266937,0.0031031222861163947,0.3866337239742279,0.001704976859099405
ETTh2,336,336,16,8,3,16,4,128,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.340762456258138,0.003096571232908486,0.3866463899612427,0.00168995237511453
ETTh2,720,336,16,8,3,16,4,128,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.3845791320006053,0.001400332868707291,0.4240506589412689,0.000645076370048357
ETTh2,720,336,16,8,3,16,4,128,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.3815467158953349,0.001295455417271769,0.41980021198590595,0.000660521790267197
ETTh2,720,336,16,8,3,16,4,128,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.38155798117319745,0.0012943548266494134,0.41980016231536865,0.0006578541253167276
ETTm2,288,336,16,8,3,128,16,256,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.2683924933274587,0.0014261246607211657,0.3243755002816518,0.0006821388438782826
ETTm2,288,336,16,8,3,128,16,256,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.2682887812455495,0.0017769565345553825,0.3238320052623749,0.0009608972223406437
ETTm2,288,336,16,8,3,128,16,256,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.26829637090365094,0.0017782568121878777,0.32382849852244056,0.0009606379609583078
ETTm2,672,336,16,8,3,128,16,256,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.3585897882779439,0.0010072142194761018,0.37908393144607544,0.00046111896866953087
ETTm2,672,336,16,8,3,128,16,256,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.3617655138174693,0.0005559962641521882,0.3795916835467021,0.0007005456224651077
ETTm2,672,336,16,8,3,128,16,256,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.36177245775858563,0.0005557105484048145,0.37958792845408124,0.0006993456814614604
Solar3,96,96,16,8,3,128,8,256,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.489565630753835,0.0027746441399736027,0.42874955137570697,0.0025044143087663523
Solar3,96,96,16,8,3,128,8,256,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.49380558729171753,0.00347328728296155,0.43064414461453754,0.002263952169562729
Solar3,96,96,16,8,3,128,8,256,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.49457093079884845,0.004223642758551341,0.4314590593179067,0.0030107781768657785
Solar5,96,96,16,8,3,128,8,256,128,20,gelu_ffn_outtanh,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,3,0.20494045317173,0.00035673240347243316,0.2363578875859578,0.0003576522549164619
Solar5,96,96,16,8,3,128,8,256,128,20,tanh_ffn_outtanh,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,3,0.2039782255887985,3.477660314062118e-05,0.23612137635548905,0.0006936359123108525
Solar5,96,96,16,8,3,128,8,256,128,20,tanh_sin001_ffn_outtanh,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,3,0.2040667086839675,0.00010626151991863663,0.23611279825369513,0.0005288047697694479
