setting,model,dataset,data,data_path,features,target,freq,seq_len,label_len,pred_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,dropout,fc_dropout,head_dropout,batch_size,train_epochs,learning_rate,activation,output_activation,perturb_amplitude,perturb_frequency,perturb_phase,activation_signature,placement,seed,mse,mae,rmse,mape,mspe,rse,corr,server_id,server_ip,run_id,des,config_path,pred_path,true_path,summary_path,stage,config_name
ETTh2_pl336_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,tanh,0.0,1.0,0.0,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2024,0.337920993566513,0.3867063820362091,0.5813097357749939,1.6452866792678833,413.54241943359375,0.4644029438495636,0.1653539091348648,4090-82,10.21.53.82,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024,./results/ETTh2_pl336_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/config.json,./results/ETTh2_pl336_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.82/results/summary.csv,stage2,gelu_ffn_outtanh
ETTh2_pl336_gelu_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,tanh,0.0,1.0,0.0,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2025,0.3394652903079986,0.3881032168865204,0.5826364755630493,1.6503984928131104,420.2428283691406,0.4654628932476043,0.1649085581302642,4090-113,10.21.53.113,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2025,./results/ETTh2_pl336_gelu_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2025_0/config.json,./results/ETTh2_pl336_gelu_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2025_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2025_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.113/results/summary.csv,stage2,gelu_ffn_outtanh
ETTh2_pl336_gelu_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,tanh,0.0,1.0,0.0,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2026,0.3345776498317718,0.3830538988113403,0.5784268975257874,1.609891057014465,394.3605346679687,0.4620998203754425,0.1655757427215576,4090-142,10.21.53.142,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2026,./results/ETTh2_pl336_gelu_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2026_0/config.json,./results/ETTh2_pl336_gelu_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2026_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2026_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.142/results/summary.csv,stage2,gelu_ffn_outtanh
ETTh2_pl336_tanh_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,tanh,0.0,1.0,0.0,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,2024,0.3394889831542969,0.3855921924114227,0.5826568603515625,1.623613953590393,405.4563598632813,0.4654791057109833,0.1627544909715652,4090-162,10.21.53.162,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2024,./results/ETTh2_pl336_tanh_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2024_0/config.json,./results/ETTh2_pl336_tanh_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2024_0/pred.npy,./results/ETTh2_pl336_tanh_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2024_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.162/results/summary.csv,stage2,tanh_ffn_outtanh
ETTh2_pl336_tanh_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,tanh,0.0,1.0,0.0,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,2025,0.3442534506320953,0.3886013329029083,0.5867311358451843,1.6391609907150269,423.0175476074219,0.4687340557575226,0.1608811318874359,4090-82,10.21.53.82,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2025,./results/ETTh2_pl336_tanh_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2025_0/config.json,./results/ETTh2_pl336_tanh_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2025_0/pred.npy,./results/ETTh2_pl336_tanh_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2025_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.82/results/summary.csv,stage2,tanh_ffn_outtanh
ETTh2_pl336_tanh_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,tanh,0.0,1.0,0.0,act=tanh|ffn=tanh|out=tanh|a=0,ffn_outtanh,2026,0.3384269475936889,0.3857076466083526,0.5817447304725647,1.6210734844207764,406.6023864746094,0.4647504687309265,0.1641859710216522,4090-113,10.21.53.113,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2026,./results/ETTh2_pl336_tanh_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2026_0/config.json,./results/ETTh2_pl336_tanh_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2026_0/pred.npy,./results/ETTh2_pl336_tanh_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_ffn_outtanh_s2026_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.113/results/summary.csv,stage2,tanh_ffn_outtanh
ETTh2_pl336_tanh_sin001_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,tanh,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,2024,0.3395236134529114,0.3856055736541748,0.5826865434646606,1.6235063076019287,405.4120178222656,0.4655028581619262,0.1627445667982101,4090-142,10.21.53.142,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2024,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2024_0/config.json,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2024_0/pred.npy,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2024_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.142/results/summary.csv,stage2,tanh_sin001_ffn_outtanh
ETTh2_pl336_tanh_sin001_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,tanh,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,2025,0.3442866504192352,0.3885962963104248,0.5867594480514526,1.6385260820388794,422.582763671875,0.4687566757202148,0.1608426868915558,4090-162,10.21.53.162,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2025,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2025_0/config.json,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2025_0/pred.npy,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2025_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.162/results/summary.csv,stage2,tanh_sin001_ffn_outtanh
ETTh2_pl336_tanh_sin001_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,tanh,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=tanh|a=0.01,ffn_outtanh,2026,0.3384771049022674,0.3857372999191284,0.5817878246307373,1.621037840843201,406.6310119628906,0.4647848904132843,0.1641551703214645,4090-82,10.21.53.82,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2026,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2026_0/config.json,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2026_0/pred.npy,./results/ETTh2_pl336_tanh_sin001_ffn_outtanh_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_tanh_sin001_ffn_outtanh_s2026_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.82/results/summary.csv,stage2,tanh_sin001_ffn_outtanh
ETTh2_pl720_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl720_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,720,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,tanh,0.0,1.0,0.0,act=gelu|ffn=gelu|out=tanh|a=0,ffn_outtanh,2024,0.383218914270401,0.4234017431735992,0.6190468072891235,2.0233495235443115,614.0020141601562,0.4963071644306183,0.1219183057546615,4090-113,10.21.53.113,patchtst_stage2_20260521_actfix,patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024,./results/ETTh2_pl720_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl720_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/config.json,./results/ETTh2_pl720_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl720_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/pred.npy,./results/ETTh2_pl720_gelu_ffn_outtanh_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl720_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage2_20260521_actfix_gelu_ffn_outtanh_s2024_0/true.npy,patchtst_remote_results/stage2_actfix_20260521/10.21.53.113/results/summary.csv,stage2,gelu_ffn_outtanh
