dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,seed,linear_mse,linear_mae,outtanh_mse,outtanh_mae,base_activation,output_tanh_gain,output_tanh_win
ETTh2,336,336,16,8,3,16,4,128,128,20,2024,0.3286780118942261,0.3846927583217621,0.337920993566513,0.3867063820362091,gelu,-0.02812169155769834,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2025,0.3288261592388153,0.3851226270198822,0.3394652903079986,0.3881032168865204,gelu,-0.032354880444461394,False
ETTh2,336,336,16,8,3,16,4,128,128,20,2026,0.3278459310531616,0.383330762386322,0.3345776498317718,0.3830538988113403,gelu,-0.02053317775512851,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2024,0.3802047967910766,0.4226802885532379,0.383218914270401,0.4234017431735992,gelu,-0.007927615602863265,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2025,0.3801805377006531,0.4228539764881134,0.3845020830631256,0.4240584075450897,gelu,-0.011367087301757768,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2026,0.3822573721408844,0.4235342741012573,0.3860163986682892,0.4246918261051178,gelu,-0.009833758094322277,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2024,0.2615467607975006,0.320020467042923,0.2672391831874847,0.323697566986084,gelu,-0.021764453792610203,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2025,0.2615745961666107,0.3210359215736389,0.2679511904716491,0.3250617682933807,gelu,-0.02437772780112334,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2026,0.2650949954986572,0.3215724527835846,0.2699871063232422,0.3243671655654907,gelu,-0.01845418022842208,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2024,0.3557484149932861,0.3775693774223327,0.3597329556941986,0.3789574205875397,gelu,-0.011200445407431344,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2025,0.3555823564529419,0.3776026666164398,0.3582035601139068,0.3795951008796692,gelu,-0.007371579645042942,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2026,0.3543667197227478,0.3769786357879638,0.3578328490257263,0.3786992728710174,gelu,-0.009781193069401024,False
Solar3,96,96,16,8,3,128,8,256,128,20,2024,0.4477527439594269,0.4193106591701507,0.4908823668956756,0.430862545967102,gelu,-0.09632464237931486,False
Solar3,96,96,16,8,3,128,8,256,128,20,2025,0.4462906718254089,0.4203408658504486,0.4914367496967315,0.4294028878211975,gelu,-0.1011584617860532,False
