setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.236872,0.89164495,1.1121475,14.704999,63766.688,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2543566,0.90064305,1.1199807,15.08204,66386.43,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2467406,0.89871454,1.1165754,15.122688,67415.2,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_cos_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2316378,0.88964844,1.1097918,14.341368,60580.664,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2410294,0.897211,1.114015,15.030456,66495.914,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2468812,0.8991621,1.1166384,15.255994,68847.195,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2027,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.2339642,0.89477074,1.1108394,14.718742,64008.48,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1500367,0.86025155,1.0723976,12.240213,46722.996,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1435364,0.856928,1.0693626,11.862107,43298.36,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh1,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2028,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,1.1565092,0.86092776,1.0754112,11.438167,40553.688,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
