setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs,source_summary,_source_order,config_path,_global_order,gelu_same_protocol_mse,relative_mse_improvement_vs_gelu,linear_counterpart_mse,relative_mse_improvement_vs_linear_counterpart
informer_ETTh1_gelu_a0_enctanh_decgelu_outlinear_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_enc_tanh_dec_gelu,ETTh1,168,gelu,baseline,0.0,1.0,0.0,1,M,OT,2024,ubuntu-ThinkStation-P3-Tower,10.21.53.142,phase2_ett_place_20260516_182720_ett_core_enc_tanh_dec_gelu,0.9983561,0.79407793,0.9991777,15.232675,77061.984,,,phase2_ett_place_20260516_182720,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,168.0,168.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.142/results/summary.csv,62,phase2_remote_results/10.21.53.142/results/informer_ETTh1_gelu_a0_enctanh_decgelu_outlinear_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_enc_tanh_dec_gelu/config.json,31,1.0693864,0.06642154790822101,,
informer_ETTh1_gelu_a0_encgelu_dectanh_outlinear_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_enc_gelu_dec_tanh,ETTh1,168,gelu,baseline,0.0,1.0,0.0,1,M,OT,2024,ubuntu-ThinkStation-P3-Tower,10.21.53.142,phase2_ett_place_20260516_182720_ett_core_enc_gelu_dec_tanh,1.0271759,0.8279396,1.0134969,13.778973,63876.387,,,phase2_ett_place_20260516_182720,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,168.0,168.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.142/results/summary.csv,63,phase2_remote_results/10.21.53.142/results/informer_ETTh1_gelu_a0_encgelu_dectanh_outlinear_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_enc_gelu_dec_tanh/config.json,32,1.0693864,0.03947170078093375,,
informer_ETTh1_tanh_a0_enctanh_dectanh_outtanh_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_tanh_all_outtanh,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2024,ubuntu-ThinkStation-P3-Tower,10.21.53.142,phase2_ett_place_20260516_182720_ett_core_tanh_all_outtanh,1.1038196,0.8391866,1.0506282,18.405367,110195.02,,,phase2_ett_place_20260516_182720,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,168.0,168.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.142/results/summary.csv,64,phase2_remote_results/10.21.53.142/results/informer_ETTh1_tanh_a0_enctanh_dectanh_outtanh_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_ett_place_20260516_182720_ett_core_tanh_all_outtanh/config.json,33,1.0693864,-0.03219902553464309,0.8353192,-0.32143448875591507
informer_Solar1_gelu_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_gelu_all,Solar1,24,gelu,baseline,0.0,1.0,0.0,1,M,Power,2024,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_gelu_all,0.1594434,0.16518077,0.39930364,1.098761,876.33,,,phase2_solar_act_fix_20260516_190650,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,60,phase2_remote_results/10.21.53.162/results/informer_Solar1_gelu_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_gelu_all/config.json,137,0.1594434,0.0,,
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_tanh_all,Solar1,24,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2024,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_tanh_all,0.15851264,0.16865541,0.39813647,1.2349896,2177.301,,,phase2_solar_act_fix_20260516_190650,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,61,phase2_remote_results/10.21.53.162/results/informer_Solar1_tanh_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_tanh_all/config.json,138,0.1594434,0.005837557402815059,,
informer_Solar1_softsign_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_softsign_all,Solar1,24,softsign,bounded_sign,0.0,1.0,0.0,1,M,Power,2024,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_softsign_all,0.15364648,0.1711196,0.39197767,1.1750262,1440.8207,,,phase2_solar_act_fix_20260516_190650,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,62,phase2_remote_results/10.21.53.162/results/informer_Solar1_softsign_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_softsign_all/config.json,139,0.1594434,0.0363572277058819,,
informer_Solar1_lee_a0_lee1_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_lee1_all,Solar1,24,lee,lee_oc,0.0,1.0,0.0,1,M,Power,2024,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_lee1_all,0.15587838,0.17185234,0.39481437,1.2010415,1494.9585,,,phase2_solar_act_fix_20260516_190650,lee,lee,linear,act=lee|enc=lee|dec=lee|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,63,,140,0.1594434,0.02235915691712546,,
informer_Solar1_lee_a0_lee3_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2024_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_lee3_all,Solar1,24,lee,lee_oc,0.0,1.0,0.0,3,M,Power,2024,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_lee3_all,0.1614384,0.18987444,0.401794,1.5015603,4617.3496,,,phase2_solar_act_fix_20260516_190650,lee,lee,linear,act=lee|enc=lee|dec=lee|out=linear|a=0|lee=3,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,64,,141,0.1594434,-0.012512277083905616,,
informer_Solar1_gelu_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2025_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_gelu_all,Solar1,24,gelu,baseline,0.0,1.0,0.0,1,M,Power,2025,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_gelu_all,0.15371636,0.16090518,0.39206678,1.1024251,1263.6276,,,phase2_solar_act_fix_20260516_190650,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,65,,142,0.15371636,0.0,,
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl24_dm512_nh8_el2_dl1_df2048_fc5_seed2025_ubuntu-ThinkStation-P3-Tower_phase2_solar_act_fix_20260516_190650_solar_core_tanh_all,Solar1,24,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2025,ubuntu-ThinkStation-P3-Tower,unknown,phase2_solar_act_fix_20260516_190650_solar_core_tanh_all,0.15686966,0.17180395,0.39606774,1.1763955,1351.8192,,,phase2_solar_act_fix_20260516_190650,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,96.0,48.0,512.0,8.0,2.0,1.0,2048.0,5.0,0.05,prob,timeF,32.0,6.0,phase2_remote_results/10.21.53.162/results/summary.csv,66,,143,0.15371636,-0.02051375663592345,,
