factor,factor_bin,config_name,activation,encoder_activation,decoder_activation,output_activation,activation_signature,cell_count,dataset_count,mse_mean,mse_median,mean_rank_in_cell,best_cell_count,top3_cell_count,improvement_vs_gelu_mean,improvement_vs_gelu_median,positive_cell_rate,win_rate_vs_gelu_mean
anomaly_density_intensity,high,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,0.7064269283333333,0.6255614583333333,2.9166666666666665,4,9,0.059510918514290884,0.06270700085650896,0.8333333333333334,0.75
anomaly_density_intensity,low,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6114972272222223,1.4965690333333335,2.0833333333333335,3,11,0.2848414434871442,0.32126335179501064,0.9166666666666666,0.8888888888888888
anomaly_density_intensity,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,1.0773396841944443,0.24039130999999997,2.9166666666666665,3,8,0.013355360752636677,0.017190760265446497,0.75,0.7777777777777778
cumulative_change,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6793737691666666,1.4024140833333334,2.4166666666666665,3,11,0.22314132298575554,0.1435733218919599,0.9166666666666666,0.8333333333333334
cumulative_change,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,5,0.6132422720555555,0.3839130616666666,2.3333333333333335,6,10,0.11861760540455264,0.06810744980409031,0.75,0.7777777777777778
cumulative_change,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,7,1.116125782361111,0.3020042766666666,2.6666666666666665,4,8,0.018060481516451735,0.017190760265446497,0.8333333333333334,0.8055555555555555
cv,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,7,0.27538577613888887,0.22451312,2.9166666666666665,3,8,0.025225847081059547,0.017190760265446497,0.8333333333333334,0.8055555555555555
cv,low,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6798444119444447,1.4965690333333335,1.8333333333333333,3,12,0.2965287107988137,0.32126335179501064,1.0,0.9444444444444443
cv,mid,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,5,1.3933111780555556,0.6927679083333333,3.1666666666666665,4,9,0.050408594657646306,0.06270700085650896,0.6666666666666666,0.6388888888888888
direction_entropy,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,0.24131280708333333,0.22451312,2.75,4,7,0.010703417038800617,0.009367461110616,0.75,0.7222222222222222
direction_entropy,low,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.3270152854444446,1.0735284749999998,2.5833333333333335,2,11,0.17254199438810158,0.1052285853149115,0.9166666666666666,0.8333333333333334
direction_entropy,mid,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.8221367669444444,0.8996551783333333,2.6666666666666665,4,8,0.18564458924382835,0.1352874876825927,0.8333333333333334,0.8611111111111112
downside_volatility,high,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,6,1.0089152868055555,0.21101648499999998,3.4166666666666665,2,7,0.026073375812369088,0.01698983135418495,0.6666666666666666,0.6944444444444443
downside_volatility,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.199612144722222,0.8996551783333333,3.0,4,8,0.18000486672518098,0.12105619361041245,0.8333333333333334,0.8333333333333334
downside_volatility,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,4,1.1830796836111113,0.6018381,1.6666666666666667,5,12,0.15978478958802758,0.1052285853149115,1.0,0.9166666666666666
jump_intensity,high,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,6,1.0099244640277778,0.20776891999999997,3.3333333333333335,2,8,0.02572908934733897,0.014942715319496749,0.6666666666666666,0.6666666666666666
jump_intensity,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.1492129227777779,0.85675437,2.9166666666666665,4,9,0.1024699205146715,0.092547276545842,0.8333333333333334,0.75
jump_intensity,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,4,1.191724255,0.6433768516666666,1.6666666666666667,6,11,0.24471431350483855,0.22648922486330242,1.0,0.9722222222222222
kurtosis,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,1.0764994739166667,0.24229460499999994,3.0833333333333335,3,7,0.01340636604956205,0.01921579780611935,0.75,0.75
kurtosis,low,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6232849405555554,1.4965690333333335,1.6666666666666667,4,12,0.28709417641304585,0.32126335179501064,1.0,0.9722222222222222
kurtosis,mid,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,12,3,0.6950865427777777,0.608934485,3.0,5,8,0.05403655876693667,0.06648981275526915,0.75,0.75
lag1_autocorr,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6114972272222223,1.4965690333333335,2.0833333333333335,3,11,0.2848414434871442,0.32126335179501064,0.9166666666666666,0.8888888888888888
lag1_autocorr,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,0.7110273461111111,0.6255614583333333,3.1666666666666665,4,9,0.05176964893384419,0.06270700085650896,0.6666666666666666,0.6666666666666666
lag1_autocorr,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,1.0737553489166667,0.24229460499999994,2.5833333333333335,4,9,0.018558800429183193,0.01921579780611935,0.9166666666666666,0.8611111111111112
max_abs_change,high,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,6,1.0089152868055555,0.21101648499999998,3.4166666666666665,2,7,0.026073375812369088,0.01698983135418495,0.6666666666666666,0.6944444444444443
max_abs_change,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.199612144722222,0.8996551783333333,3.0,4,8,0.18000486672518098,0.12105619361041245,0.8333333333333334,0.8333333333333334
max_abs_change,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,4,1.1830796836111113,0.6018381,1.6666666666666667,5,12,0.15978478958802758,0.1052285853149115,1.0,0.9166666666666666
max_drawdown,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,0.21224109197222218,0.2097171933333333,2.9166666666666665,3,7,0.021672082508732374,0.0151509430417526,0.75,0.7222222222222222
max_drawdown,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.1492129227777779,0.85675437,2.9166666666666665,4,9,0.1024699205146715,0.092547276545842,0.8333333333333334,0.75
