factor,factor_bin,config_name,activation,encoder_activation,decoder_activation,output_activation,activation_signature,cell_count,dataset_count,mse_mean,mse_median,mean_rank_in_cell,best_cell_count,top3_cell_count,improvement_vs_gelu_mean,improvement_vs_gelu_median,positive_cell_rate,win_rate_vs_gelu_mean
anomaly_density_intensity,low,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,1.6114972272222223,1.4965690333333335,2.0833333333333335,3,11,0.2848414434871442,0.32126335179501064,0.9166666666666666,0.8888888888888888
anomaly_density_intensity,low,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,12,3,1.6789191725,1.5046924166666669,3.0,3,8,0.2729800171893079,0.29896852656884393,0.9166666666666666,0.9444444444444445
anomaly_density_intensity,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,1.6736166158333334,1.5456836166666665,3.1666666666666665,1,8,0.27190750276574144,0.3019139547337753,0.9166666666666666,0.8888888888888888
anomaly_density_intensity,low,tanh_all_outtanh,tanh,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,12,3,1.8035104627777778,1.6917639833333336,4.916666666666667,4,5,-0.2372836839949155,0.0830258941264323,0.5,0.5555555555555556
anomaly_density_intensity,low,swish_all,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,12,3,2.2911467455555554,1.9278657,5.333333333333333,1,1,0.09774659542031168,0.09540172091265005,0.8333333333333334,0.8055555555555555
anomaly_density_intensity,low,enc_tanh_dec_gelu,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,12,3,2.181130593055556,2.111240066666667,5.583333333333333,0,1,0.1070732876531519,0.060171144993959355,0.6666666666666666,0.6666666666666666
anomaly_density_intensity,low,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,12,3,2.5312037775,2.1957345166666666,6.083333333333333,0,1,0.05898871664526261,0.05854977716357705,0.75,0.6666666666666666
anomaly_density_intensity,low,gelu_all,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,12,3,2.771026929722222,2.1045667666666663,6.75,0,1,0.0,0.0,0.0,
anomaly_density_intensity,low,relu_all,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,12,3,2.943494847777778,2.130659016666667,8.083333333333334,0,0,-0.06047522056690208,-0.031043787574482548,0.3333333333333333,0.3333333333333333
anomaly_density_intensity,mid,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,6,1.0773396841944443,0.24039130999999997,2.9166666666666665,3,8,0.013355360752636677,0.017190760265446497,0.75,0.7777777777777778
anomaly_density_intensity,mid,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,6,1.0306947315277777,0.24323010666666667,3.5,2,8,0.026333606146418553,0.0107865805690285,0.6666666666666666,0.6666666666666666
anomaly_density_intensity,mid,enc_tanh_dec_gelu,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,12,6,0.8937986010833333,0.24080435,3.5833333333333335,2,8,0.04454370204971261,0.011505962181134,0.6666666666666666,0.7222222222222222
anomaly_density_intensity,mid,swish_all,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,12,6,1.1509397119444444,0.2414760133333333,4.333333333333333,1,3,-0.0035590092004737575,0.0073238523232489,0.75,0.6944444444444443
anomaly_density_intensity,mid,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,12,6,1.070093958638889,0.24343876666666658,4.416666666666667,1,5,0.0067334813992097715,0.0177447241483986,0.6666666666666666,0.6666666666666666
anomaly_density_intensity,mid,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,12,6,1.1292887143055554,0.2421876933333333,5.5,0,0,-0.009787332498137324,0.0031617637046632,0.6666666666666666,0.5555555555555555
anomaly_density_intensity,mid,gelu_all,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,12,6,1.170237865861111,0.24272204666666658,5.583333333333333,2,2,0.0,0.0,0.0,
anomaly_density_intensity,mid,relu_all,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,12,6,1.1961031876666666,0.24397822166666666,6.166666666666667,1,2,-0.00748419224097855,-0.0103418114200906,0.25,0.38888888888888884
anomaly_density_intensity,mid,tanh_all_outtanh,tanh,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,12,6,2.043521132777778,0.3599212916666667,9.0,0,0,-0.7368851255052924,-0.45462669543928497,0.0,0.0
anomaly_density_intensity,high,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,3,0.7064269283333333,0.6255614583333333,2.9166666666666665,4,9,0.059510918514290884,0.06270700085650896,0.8333333333333334,0.75
anomaly_density_intensity,high,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,12,3,0.7062742136111111,0.608934485,3.0,4,9,0.05560840382481864,0.06648981275526915,0.8333333333333334,0.8055555555555555
anomaly_density_intensity,high,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,12,3,0.7098944452777777,0.60771621,3.3333333333333335,2,8,0.052347029734796824,0.0599838314509775,0.8333333333333334,0.7777777777777778
anomaly_density_intensity,high,swish_all,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,12,3,0.7396882508333333,0.6493474049999999,5.0,0,1,0.015298380625561542,0.0136033682768264,0.75,0.6666666666666666
anomaly_density_intensity,high,enc_tanh_dec_gelu,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,12,3,0.7535563352777778,0.6938234183333334,5.333333333333333,1,2,0.0013284143798338581,0.0115456440666712,0.6666666666666666,0.5277777777777778
anomaly_density_intensity,high,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,12,3,0.7474986283333332,0.6913401016666667,5.416666666666667,0,2,0.00822040580253026,0.0089267682399761,0.5833333333333334,0.5
anomaly_density_intensity,high,relu_all,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,12,3,0.7482086427777778,0.679810085,6.25,0,2,-0.0016628122620488165,-0.0063093038857444505,0.5,0.4166666666666667
anomaly_density_intensity,high,gelu_all,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,12,3,0.7517749125000001,0.6776125733333334,6.333333333333333,0,1,0.0,0.0,0.0,
anomaly_density_intensity,high,tanh_all_outtanh,tanh,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,12,3,0.7872789102777777,0.7197330166666667,7.416666666666667,1,2,-0.11609878486906046,-0.0718377740000048,0.25,0.2222222222222222
cumulative_change,low,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,12,5,0.6132422720555555,0.3839130616666666,2.3333333333333335,6,10,0.11861760540455264,0.06810744980409031,0.75,0.7777777777777778
