dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,test_sample_count,input_volatility,target_volatility,input_anomaly_density_intensity,target_anomaly_density_intensity,input_turbulence_score,target_turbulence_score,input_mean,target_mean,input_std,target_std,input_cv,target_cv,input_trend,target_trend,input_range,target_range,input_mean_abs_change,target_mean_abs_change,input_max_abs_change,target_max_abs_change,input_skewness,target_skewness,input_kurtosis,target_kurtosis,input_realized_volatility,target_realized_volatility,input_volatility_shock,target_volatility_shock,input_volatility_ratio_late_early,target_volatility_ratio_late_early,input_upside_volatility,target_upside_volatility,input_downside_volatility,target_downside_volatility,input_cumulative_change,target_cumulative_change,input_momentum,target_momentum,input_trend_consistency,target_trend_consistency,input_reversal_rate,target_reversal_rate,input_mean_crossing_rate,target_mean_crossing_rate,input_lag1_autocorr,target_lag1_autocorr,input_mean_reversion_strength,target_mean_reversion_strength,input_jump_intensity,target_jump_intensity,input_tail_ratio,target_tail_ratio,input_max_drawdown,target_max_drawdown,input_max_drawup,target_max_drawup,input_direction_entropy,target_direction_entropy,volatility_bin,anomaly_density_intensity_bin,turbulence_score_bin,mean_bin,std_bin,cv_bin,trend_bin,range_bin,mean_abs_change_bin,max_abs_change_bin,skewness_bin,kurtosis_bin,realized_volatility_bin,volatility_shock_bin,volatility_ratio_late_early_bin,upside_volatility_bin,downside_volatility_bin,cumulative_change_bin,momentum_bin,trend_consistency_bin,reversal_rate_bin,mean_crossing_rate_bin,lag1_autocorr_bin,mean_reversion_strength_bin,jump_intensity_bin,tail_ratio_bin,max_drawdown_bin,max_drawup_bin,direction_entropy_bin
ETTh1,24,48,48,2,1,3,2857,0.19450011397389774,0.1982317451737705,0.05189112622885609,0.05189112622885609,0.47676787399258463,0.47863329339878935,4.942342432968587,4.841288523710976,0.9380593611006467,0.9377922179688537,0.7967070539619212,0.8017116092575782,0.03638273360554349,0.035369344145987844,3.3144402045371057,3.3091632791611962,0.4238279032446448,0.4235956164666538,1.469865449093671,1.4732553147543632,0.052067950772537945,0.047279044372960564,-0.4820655090314506,-0.47410070912355273,0.5655058992349747,0.5656844161139162,-0.07290739324565433,-0.06786959946557644,1.1711319596204124,1.1677556951691554,0.6024434902029044,0.6035818820941125,0.575204642589604,0.5751580928531025,0.003010501106065463,0.010376092266861191,-0.5904376841164458,-0.5592101720149675,0.561348826616408,0.5613563396183208,0.5060672842892062,0.5076124505959002,0.17024546879517968,0.17059548629605475,-0.07334833498534207,-0.07535954693306604,0.2974779471437097,0.29847299141266437,0.02095793195456861,0.02173913043478247,3.2872975141412897,3.296087825293315,2.4217398244926276,2.426772842717663,2.854055772816171,2.847046554359807,0.7700027802659313,0.7706329524343587,low,high,low,mid,low,low,flat,low,mid,mid,low,mid,mid,mid,mid,mid,mid,high,high,mid,high,high,low,high,low,low,low,low,low
ETTh1,48,96,48,2,1,5,2833,0.19139180718884963,0.1977118147243878,0.052330726309863,0.052330726309863,0.4762040077084149,0.47847173227050144,5.016625589500904,4.831524313953077,0.9393915147402482,0.9358309343763773,0.7993992669352733,0.8058241952886189,0.0374753958103316,0.03525350814612806,3.3192066559028257,3.3047433184418824,0.4239943586993661,0.4236118350556147,1.4676586356762227,1.4717914229884597,0.04836716546626924,0.04969755163999246,-0.4925670120374248,-0.47232930568280507,0.565342652693854,0.5655652858145318,-0.0772970314492351,-0.06729082868886713,1.1757083223765705,1.166599570209518,0.6028348290959933,0.6030041618919553,0.5750463062436096,0.5752961263805794,0.012530040873515058,0.006335039267274597,-0.6058408816017281,-0.5630106333494607,0.5605376450629983,0.5616819845709644,0.506437825258688,0.507271694955768,0.17006169523780362,0.17130404088460616,-0.07459385316516239,-0.07684899837189453,0.2978724591761719,0.30026487114163186,0.020410841173130218,0.021739130434782473,3.2768761495375056,3.29057518895041,2.412460382164387,2.4222120303647046,2.866482745094683,2.8414022841373887,0.7709447338651103,0.7701233180142607,low,high,low,low,low,low,flat,low,mid,mid,low,mid,mid,mid,mid,mid,mid,high,high,mid,high,high,low,high,low,low,low,low,low
ETTh1,168,168,168,2,1,5,2713,0.18297380374399383,0.19563035316009242,0.05462914640829907,0.05464344563442363,0.47654860991231107,0.47729683275816437,5.125160193673245,4.738037592664263,0.9429838822325368,0.9257265999763472,0.8226150396059997,0.8311571488420629,0.03876540222715403,0.03530866369715369,3.326679626871772,3.2732638899896216,0.4245225421963841,0.42147939408649393,1.4730715818130777,1.4688696333735698,0.03718959583213317,0.04168425488480859,-0.5301224994988315,-0.46989906805450515,0.5660597484611734,0.5629455773056605,-0.08347946571214332,-0.06774468487240304,1.1914711187000413,1.1664189685423616,0.6054258542925547,0.6010641035529174,0.5750905087835264,0.5729885876948484,0.020553359752908833,0.014725085987179002,-0.6568264348373476,-0.5501911907142125,0.5596111437749974,0.562217817574215,0.5035264089417288,0.5089535649324368,0.1693759973259651,0.173747347141553,-0.07456067740901637,-0.08381385936857227,0.2977905262893696,0.3062952012655367,0.020483959220958085,0.021547964367560696,3.265309712761883,3.2751259517365385,2.414834316010743,2.383468390074482,2.8997229335016628,2.8108918660664455,0.7677020980462613,0.7710232530956568,low,high,low,low,low,mid,flat,low,mid,mid,low,mid,mid,mid,mid,mid,mid,high,high,mid,high,high,low,high,low,low,low,low,low
ETTh1,336,168,168,2,1,5,2545,0.17243784547995825,0.19354421699517207,0.058235314029750636,0.05824341965404262,0.4789390147878793,0.4767511432150212,5.246275009456664,4.599273280540795,0.9448811110524155,0.9150539753281752,0.8575499339802937,0.8732794645895521,0.03907318070305446,0.03438808711854038,3.3426497679336533,3.2445411896121237,0.4233469772455448,0.4202259749200848,1.4725977823159149,1.4652104176225,0.03859385961411001,0.03398127632820243,-0.5064808449479549,-0.4712240904499828,0.5648184570322766,0.5611384384611972,-0.08869566949624098,-0.06618264126382808,1.1997763798254428,1.1629923785879128,0.6042316418922528,0.5996273112995263,0.5746337704277038,0.5723054261204114,0.01559234290704478,0.013803306777078667,-0.6651952137028339,-0.5475977231361254,0.5599543344222024,0.5645311418810881,0.5028119206520205,0.5111998703569274,0.16856337478187713,0.176685011409536,-0.07368745445792269,-0.09068055620362472,0.29794096760448213,0.31442909843426514,0.020402323396258526,0.021737910163638227,3.2603240087456915,3.2796347518964186,2.4292838783719852,2.366758930382241,2.9084228966750025,2.78662234890326,0.766772727481696,0.7734446590634727,low,high,low,low,low,mid,flat,low,low,low,low,mid,low,mid,mid,low,low,high,high,high,high,high,low,high,low,low,low,low,low
ETTh1,720,336,336,2,1,5,2161,0.15158845211723007,0.18867954495975298,0.06215379245725293,0.06359134253136144,0.4943643298356191,0.4758365757680562,5.9523599031957914,4.377285592420629,0.9829565252465134,0.8979184584484218,0.795052701657987,0.9720013283422504,0.045962236824213624,0.03181998652762129,3.460947510402616,3.2079444489122495,0.4318568463633858,0.41776669885278883,1.5220508706994957,1.4460679667845575,0.048368253210576084,0.04689858964781865,-0.49701541479377515,-0.4518046790463589,0.5766718423678837,0.5565815030870903,-0.0877414196945408,-0.06489895907073093,1.2075156516012115,1.152061288100591,0.6188585002457763,0.5916216727037317,0.5769467373515411,0.5728584296225929,0.020846604040144434,0.011703697838444948,-0.8288025948461021,-0.5187924782771124,0.5616296204897132,0.5658243905635592,0.5025932083144269,0.5173045708104135,0.1628013255882805,0.17986008936091208,-0.056968614771043355,-0.09970076166034919,0.2829914748098904,0.32395774689642043,0.020801369659587315,0.021878842042160403,3.1923784881095303,3.260766458143268,2.47893774219504,2.3590378208740788,3.0230013594750105,2.7412085764754743,0.766237330223607,0.7782394809323692,low,high,low,low,low,mid,flat,low,low,low,low,mid,low,mid,mid,low,low,high,high,high,high,high,low,high,low,low,low,low,low
ETTh2,24,48,48,2,1,5,2857,0.2314992480693776,0.2307865742193561,0.017317668026220253,0.017317668026220253,0.7134544644132335,0.7042295592130875,14.558768738777312,14.385887794822175,3.4117343756856187,3.3660416965831454,0.27459237744807924,0.2733976478466791,0.2393103104080388,0.23500012874271814,10.53598319116961,10.40128819826478,0.8713795102584196,0.859083799333242,2.521040063159717,2.486271306522918,0.2204074092823538,0.21590892820743726,-1.0157787683613662,-1.0139697248795643,1.1170706175971377,1.101619938354953,-0.05347496958916748,-0.06963501444294712,1.0244386744959564,1.0277212912451255,1.6663832336699012,1.6433901415769858,0.8327451621055589,0.8236902602500632,0.29122004199091994,0.28202504480807233,-3.4490773589646375,-3.367175693899174,0.6488382016132078,0.6502763808496249,0.12273361451335296,0.12343418117379645,0.08147037786672004,0.08092252438708948,0.7398420969655631,0.7332227455764225,0.08147037786672004,0.08137103217375372,0.03385785231290546,0.03236140067872955,2285045.071817358,2807336.8801336084,7.221767122138272,7.1113177595081805,10.103030790986125,9.955851812900093,0.7630217065580809,0.7643758141920455,mid,low,mid,high,mid,low,up,mid,mid,mid,mid,low,mid,mid,mid,mid,mid,high,mid,high,low,mid,high,mid,mid,mid,mid,mid,low
ETTh2,48,96,96,2,1,5,2833,0.2312079986457249,0.23144220980954744,0.017338841316565778,0.017464376121041743,0.7211922581818053,0.7048609063332166,14.677956845184706,14.361604065411878,3.448015453462364,3.3672662164983813,0.275997445597688,0.2743635814096369,0.2430489455476758,0.2352404601271079,10.635026351462141,10.407552024142463,0.8803282176568811,0.8599791310350742,2.5492650024637586,2.490166647600586,0.22096824103255835,0.21498010317091693,-1.0200867933968591,-1.0125716187144165,1.1281985290630556,1.1027037322895124,-0.04112746901157245,-0.06954905706792099,1.0179672644427413,1.0280650695421931,1.6868017206268557,1.6462214715978596,0.836006625315769,0.823139629592329,0.3124821574369,0.275883715241667,-3.511659680479961,-3.3714506804262814,0.6483159936872435,0.6498864441664042,0.12194981495164567,0.1230686805561782,0.08179990484814136,0.08105557175524544,0.742530075762497,0.7344966650377236,0.08179990484814136,0.08135107922943527,0.035155542595804064,0.03218537219212487,2177708.73532568,2614739.270852704,7.297886776730571,7.112487408171991,10.217063852674414,9.963719366410015,0.7600306070828763,0.7636442002687829,mid,low,mid,high,mid,low,up,mid,high,mid,mid,low,mid,mid,mid,mid,mid,high,low,high,low,mid,high,mid,mid,mid,mid,mid,low
ETTh2,168,336,336,3,2,5,2713,0.20337750208924374,0.23279406757248594,0.015433518590318183,0.017896064752770013,0.6994797231706745,0.7059380128181034,15.380278471064868,14.162904397160899,3.3310031580409367,3.364376193701873,0.2569226703591692,0.27887066735151833,0.2298703339398329,0.2371371229818559,10.282335304629056,10.402930404392816,0.857077500937508,0.859727753862518,2.490559325572985,2.494437282530217,0.22205258937331773,0.2077631347115869,-1.0102043923971855,-1.010667612555539,1.0993595297027607,1.1023462411680134,-0.06176205256207878,-0.0726405571312411,1.0104019368113153,1.0203922158279795,1.6420467680808724,1.6543313486332574,0.8257750120144861,0.81606116909983,0.2205431757134296,0.3006963485928485,-3.426400120983593,-3.364657633778269,0.6445313001549251,0.6488400312580951,0.12285444269338046,0.12239384972849222,0.08231534540770336,0.08137607516604033,0.7374662642090472,0.7354735547700825,0.08231534540770336,0.08149010515927842,0.03212765161834854,0.031944193244855076,2274031.833463344,2442672.5658785873,7.182127022520177,7.068649877894766,9.900513412182457,9.973514867176672,0.7694021878457141,0.7615806842748677,mid,low,mid,high,mid,low,up,mid,high,mid,mid,low,mid,mid,mid,mid,mid,high,mid,high,low,high,high,mid,mid,mid,mid,mid,low
ETTh2,336,336,168,3,2,5,2545,0.19052975231085034,0.22794069613143533,0.01584552335033407,0.017721534988847064,0.6952400698646459,0.697323393144364,15.93466765714747,13.93104507469038,3.3095359123443004,3.307260439570317,0.23845341014552335,0.28040619580062726,0.22605371826651813,0.232450731478947,10.214515440523797,10.237513209107506,0.851182526267438,0.846664663528667,2.468329822709757,2.4739376453234065,0.2184458487256993,0.2001082008418624,-1.0100644782453612,-1.009501487182425,1.0916766960585913,1.087569516442912,-0.07656637986012405,-0.08700025341776894,1.0062159882621085,1.0201747688941865,1.6234536701342912,1.6397438159255446,0.827026214604227,0.8052697087404149,0.18776344032079711,0.28655452948020743,-3.4032151593253284,-3.2908202619781903,0.6452455422502269,0.6500225863097169,0.12453057125061766,0.12355387569049707,0.08228312731088912,0.08157032625982882,0.7376215573704783,0.7343317047966783,0.08228312731088912,0.08163496502245514,0.029783401871895897,0.02965242610241325,2342886.977013583,2519739.817266818,7.167794160322854,6.94871343828316,9.816947797280454,9.813720121127606,0.777529434777741,0.7679691163220884,low,low,low,mid,low,low,up,low,mid,mid,mid,low,mid,low,low,mid,mid,high,mid,high,low,high,high,mid,low,mid,low,low,low
ETTh2,720,720,336,3,2,5,2161,0.1738396658393821,0.2186211893465521,0.01793317554372389,0.01883026675528282,0.7216783906787059,0.6859387669123007,18.56037384898713,13.61613867901718,3.4669663077157273,3.2344803849063957,0.20859258648991452,0.2738282715482213,0.2391615806329046,0.22468808080966718,10.699031867622875,10.004825301278284,0.8923373915033566,0.8261500060599268,2.553763012022853,2.4269748399646573,0.2279161033055008,0.1850908327303926,-1.0170580897741686,-1.015994129608009,1.139167110581739,1.0634647926768417,-0.04257542990209011,-0.11179776974546186,1.0213716922834701,1.0173503208690668,1.6738354132285909,1.6042079285279258,0.8708025582075971,0.792742532766036,0.22101909434680364,0.2437839484618488,-3.6874240230291,-3.1916943345544744,0.6483836133314754,0.6496559132905991,0.12300305609793315,0.1260334390734916,0.08288811886693048,0.08120755567641727,0.753353319036191,0.7297831231060773,0.08288811886693048,0.08124433195359786,0.030153347442950888,0.026866857953447745,2123020.2024006224,2501234.554639542,7.5888852304912175,6.801588711039197,10.308546354550133,9.553358994423638,0.7749606683776332,0.7803056242919436,low,low,low,mid,low,low,up,low,mid,mid,low,low,mid,low,low,mid,mid,high,mid,high,low,mid,high,mid,low,mid,low,low,low
