factor,config_name,activation,encoder_activation,decoder_activation,output_activation,activation_signature,start_bin,middle_bin,end_bin,cell_count_start,cell_count_middle,cell_count_end,improvement_start,improvement_middle,improvement_end,win_rate_start,win_rate_middle,win_rate_end,rank_start,rank_middle,rank_end,improvement_end_minus_start,win_rate_end_minus_start,rank_end_minus_start,factor_conditioned
anomaly_density_intensity,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.05898871664526261,-0.009787332498137324,0.00822040580253026,0.6666666666666666,0.5555555555555555,0.5,6.083333333333333,5.5,5.416666666666667,-0.05076831084273235,-0.16666666666666663,-0.6666666666666661,True
anomaly_density_intensity,enc_tanh_dec_gelu,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.1070732876531519,0.04454370204971261,0.0013284143798338581,0.6666666666666666,0.7222222222222222,0.5277777777777778,5.583333333333333,3.5833333333333335,5.333333333333333,-0.10574487327331804,-0.13888888888888884,-0.25,True
anomaly_density_intensity,gelu_all,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.0,0.0,0.0,,,,6.75,5.583333333333333,6.333333333333333,0.0,,-0.41666666666666696,False
anomaly_density_intensity,relu_all,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,low,mid,high,12,12,12,-0.06047522056690208,-0.00748419224097855,-0.0016628122620488165,0.3333333333333333,0.38888888888888884,0.4166666666666667,8.083333333333334,6.166666666666667,6.25,0.05881240830485326,0.08333333333333337,-1.833333333333334,True
anomaly_density_intensity,softsign_all,softsign,softsign,softsign,linear,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.2729800171893079,0.0067334813992097715,0.05560840382481864,0.9444444444444445,0.6666666666666666,0.8055555555555555,3.0,4.416666666666667,3.0,-0.2173716133644893,-0.13888888888888906,0.0,True
anomaly_density_intensity,swish_all,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.09774659542031168,-0.0035590092004737575,0.015298380625561542,0.8055555555555555,0.6944444444444443,0.6666666666666666,5.333333333333333,4.333333333333333,5.0,-0.08244821479475013,-0.13888888888888884,-0.33333333333333304,True
anomaly_density_intensity,tanh_all,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.27190750276574144,0.026333606146418553,0.059510918514290884,0.8888888888888888,0.6666666666666666,0.75,3.1666666666666665,3.5,2.9166666666666665,-0.21239658425145055,-0.13888888888888884,-0.25,True
anomaly_density_intensity,tanh_all_outtanh,tanh,tanh,tanh,tanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,low,mid,high,12,12,12,-0.2372836839949155,-0.7368851255052924,-0.11609878486906046,0.5555555555555556,0.0,0.2222222222222222,4.916666666666667,9.0,7.416666666666667,0.12118489912585505,-0.33333333333333337,2.5,True
anomaly_density_intensity,tanh_sin001_all,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,low,mid,high,12,12,12,0.2848414434871442,0.013355360752636677,0.052347029734796824,0.8888888888888888,0.7777777777777778,0.7777777777777778,2.0833333333333335,2.9166666666666665,3.3333333333333335,-0.23249441375234736,-0.11111111111111105,1.25,True
cumulative_change,enc_gelu_dec_tanh,gelu,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,low,mid,high,12,12,12,0.026273181536452778,0.0018837359837561827,0.029264872429446587,0.5833333333333334,0.5555555555555555,0.5833333333333334,5.333333333333333,5.25,6.416666666666667,0.002991690892993809,0.0,1.083333333333334,False
