dataset,pred_len,total_samples,bin_count,same_split_oracle_mse,factor,best_static_signature,best_static_placement,best_static_mse,same_split_gain_vs_best_static
ETTh1,168,8064,3,0.9724961622638888,volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,1.1416220111765287e-16
ETTh1,336,7584,3,0.5995427262456486,volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.2943569106274797,volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,1.9355716096002228e-16
ETTh2,336,7584,3,1.662899870114715,volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.17179358942569922,volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.032464822490802174
Solar5,96,41760,3,0.24935912097527776,volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.005135013549707519
ETTh1,168,8064,3,0.9724961622638889,std,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,std,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,std,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.662899870114715,std,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.17550022112020355,std,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.011589209107949255
Solar5,96,41760,3,0.24813187741883863,std,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.010031331917260135
ETTh1,168,8064,3,0.9724961622638889,range,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456487,range,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,0.0
ETTh2,168,8064,3,2.2943569106274797,range,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,1.9355716096002228e-16
ETTh2,336,7584,3,1.6628998701147153,range,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.174105784543932,range,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.01944262462163892
Solar5,96,41760,3,0.2487483178572557,range,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
ETTh1,168,8064,3,0.9724961622638889,max_abs_change,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,max_abs_change,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,max_abs_change,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.6628998701147153,max_abs_change,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.17146352236848658,max_abs_change,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.03432374801798717
Solar5,96,41760,3,0.24995848819774422,max_abs_change,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.002743725589894115
ETTh1,168,8064,3,0.9724961622638889,trend,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,trend,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.2943569106274797,trend,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,1.9355716096002228e-16
ETTh2,336,7584,3,1.662899870114715,trend,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.1721801381015685,trend,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.03028779456459502
Solar5,96,41760,3,0.2482888487914799,trend,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.009405065182339656
ETTh1,168,8064,3,0.9724961622638888,realized_volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,1.1416220111765287e-16
ETTh1,336,7584,3,0.5995427262456487,realized_volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,0.0
ETTh2,168,8064,3,2.29435691062748,realized_volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.6628998701147153,realized_volatility,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.17251333061899427,realized_volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.0284112665604362
Solar5,96,41760,3,0.2490689407840685,realized_volatility,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0062927418528329416
ETTh1,168,8064,3,0.9724961622638889,volatility_shock,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,volatility_shock,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,volatility_shock,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.662899870114715,volatility_shock,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.17261403834159245,volatility_shock,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.027844084370540104
Solar5,96,41760,3,0.2505056268966858,volatility_shock,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0005608131214028037
ETTh1,168,8064,3,0.9724961622638888,trend_consistency,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,1.1416220111765287e-16
ETTh1,336,7584,3,0.5995427262456486,trend_consistency,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,trend_consistency,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.6628998701147153,trend_consistency,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.17272301289417386,trend_consistency,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.027230343698211697
Solar5,96,41760,3,0.2506461925703089,trend_consistency,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0
ETTh1,168,8064,3,0.9724961622638889,reversal_rate,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,reversal_rate,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,reversal_rate,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.6628998701147153,reversal_rate,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.17457676568745928,reversal_rate,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.016790076142795703
Solar5,96,41760,3,0.24855462071519635,reversal_rate,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.008344718240736263
ETTh1,168,8064,3,0.9724961622638889,jump_intensity,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456487,jump_intensity,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,0.0
ETTh2,168,8064,3,2.2943569106274797,jump_intensity,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,1.9355716096002228e-16
ETTh2,336,7584,3,1.6628998701147153,jump_intensity,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.17323034265103687,jump_intensity,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.024373081165872244
Solar5,96,41760,3,0.25011360516166664,jump_intensity,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0021248573663965134
ETTh1,168,8064,3,0.9724961622638889,tail_ratio,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,tail_ratio,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,tail_ratio,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.662899870114715,tail_ratio,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.17130764831675768,tail_ratio,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.035201624944668566
Solar5,96,41760,3,0.2506461925703089,tail_ratio,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0
ETTh1,168,8064,3,0.9724961622638888,mean_reversion_strength,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,1.1416220111765287e-16
ETTh1,336,7584,3,0.5995427262456486,mean_reversion_strength,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,mean_reversion_strength,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.662899870114715,mean_reversion_strength,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.1745862458762548,mean_reversion_strength,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.016736684068156885
Solar5,96,41760,3,0.25033528289796697,mean_reversion_strength,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.0012404324564184903
ETTh1,168,8064,3,0.9724961622638889,max_drawdown,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.0
ETTh1,336,7584,3,0.5995427262456486,max_drawdown,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,1.8517829939784282e-16
ETTh2,168,8064,3,2.29435691062748,max_drawdown,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.6628998701147153,max_drawdown,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,-1.33528547879262e-16
Solar1,96,41760,3,0.174105784543932,max_drawdown,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.01944262462163892
Solar5,96,41760,3,0.2487483178572557,max_drawdown,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
ETTh1,168,8064,3,0.9724961622638888,max_drawup,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,1.1416220111765287e-16
ETTh1,336,7584,3,0.5995427262456487,max_drawup,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,0.0
ETTh2,168,8064,3,2.29435691062748,max_drawup,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.0
ETTh2,336,7584,3,1.662899870114715,max_drawup,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.0
Solar1,96,41760,3,0.174105784543932,max_drawup,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.01944262462163892
Solar5,96,41760,3,0.2487483178572557,max_drawup,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.007571927159918138
