dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,13230,3,0.29611346,0.28859684,0.0075166225,0.025384264,-0.23080229986334858,0.5381708238851096,0.31125757,0.29974267,0.011514902,0.03699477,-0.08951150633040891,0.5222978080120937
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,16989,3,0.1702943,0.13868722,0.031607077,0.18560266,-0.146568432442532,0.5966213432220849,0.21118912,0.20149465,0.009694472,0.04590422,-0.06521755938892604,0.554182117840956
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,11541,3,0.107613176,0.10748875,0.0001244247,0.0011562217,-0.4351651112545562,0.4806342604626982,0.16426808,0.17067282,-0.0064047426,-0.038989577,-0.18085297612010146,0.44744822805649426
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,13230,3,0.29611346,0.2804802,0.015633255,0.052794814,-0.19728066155111404,0.5345427059712774,0.31125757,0.30018032,0.011077255,0.035588708,-0.09224472254580422,0.5056689342403629
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,mid,17274,3,0.16784947,0.14456317,0.023286298,0.13873322,-0.13833885624313333,0.5865462544865115,0.21114558,0.20477001,0.006375566,0.03019512,-0.07491332286409644,0.5391918490216511
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,high,11256,3,0.10977806,0.10873966,0.0010384023,0.009459106,-0.333959327050962,0.4979566453447051,0.16314684,0.16691843,-0.0037715882,-0.023117753,-0.14448156125817185,0.43674484719260837
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,low,13230,3,0.2804802,0.29124355,-0.010763347,-0.03837471,-0.2361085592387522,0.4711262282690854,0.30018032,0.2980386,0.002141714,0.0071347584,-0.0979869647600788,0.5122448979591837
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,mid,17091,3,0.14598799,0.15372089,-0.007732898,-0.052969415,-0.3144323021652509,0.4765666140073723,0.20462736,0.21489696,-0.010269597,-0.05018682,-0.12574321774622443,0.45041249780586273
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,volatility,high,11439,3,0.107183926,0.10165105,0.0055328757,0.051620387,-0.10154260369222279,0.5441035055511846,0.16773707,0.17097525,-0.0032381862,-0.019305132,-0.08038420479267563,0.4940117143106915
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,volatility,low,14424,3,0.3600853,0.29036337,0.06972194,0.19362617,-0.2137344074514032,0.6083610648918469,0.22248971,0.19280398,0.029685736,0.1334252,-0.0197867259025349,0.5881170271769274
