model_scope,model_family,dataset,pred_len,chosen_action,chosen_config,chosen_mse,oracle_action,oracle_config,oracle_mse,baseline_mse,static_config,static_mse,fallback_used,gain_vs_baseline,gain_vs_static,regret_vs_oracle,action_hit,config_hit,split_mode,fold,selected_feature
Informer-fullgrid,Informer,ETTh1,24,bounded_linear,tanh_all,0.5330212933333334,bounded_linear,softsign_all,0.5324173,0.5646668,tanh_sin001_all,0.5476108000000001,False,0.05604279668410938,0.026642109079416793,0.0011344359646716698,True,False,leave_cell,Informer-fullgrid:ETTh1/24,d_layers
Informer-fullgrid,Informer,ETTh1,48,bounded_linear,tanh_all,0.6675251233333332,bounded_linear,softsign_all,0.6459194633333333,0.7389258333333334,tanh_sin001_all,0.6560654,False,0.09662770846420105,-0.017467349037661836,0.03344946425441611,True,False,leave_cell,Informer-fullgrid:ETTh1/48,d_layers
Informer-fullgrid,Informer,ETTh1,168,bounded_linear,tanh_all,0.9115707166666668,bounded_linear,tanh_all,0.9115707166666668,1.0471051666666666,tanh_sin001_all,0.9184072833333332,False,0.12943728511192193,0.007443937772197655,0.0,True,True,leave_cell,Informer-fullgrid:ETTh1/168,d_layers
Informer-fullgrid,Informer,ETTh1,336,bounded_linear,tanh_all,1.2295438666666667,bounded_linear,softsign_all,1.2189896666666666,1.3606628333333333,tanh_sin001_all,1.2286496666666666,False,0.0963640392421487,-0.000727790862000587,0.00865815378801412,True,False,leave_cell,Informer-fullgrid:ETTh1/336,d_layers
Informer-fullgrid,Informer,ETTh1,720,bounded_linear,tanh_all,1.4690554666666664,output_tanh,tanh_all_outtanh,1.3278413666666666,1.4126485333333332,tanh_sin001_all,1.4697910666666667,False,-0.039929913210778295,0.000500479297148366,0.10634862231660638,False,False,leave_cell,Informer-fullgrid:ETTh1/720,d_layers
Informer-fullgrid,Informer,ETTh2,24,bounded_linear,tanh_all,0.5293532933333333,bounded_linear,tanh_sin001_all,0.5158879133333333,0.7238337133333334,tanh_sin001_all,0.5158879133333333,False,0.2686810746965577,-0.026101367471463743,0.026101367471463743,True,False,leave_cell,Informer-fullgrid:ETTh2/24,d_layers
Informer-fullgrid,Informer,ETTh2,48,bounded_linear,tanh_all,1.7197261,bounded_linear,softsign_all,1.6064207333333334,2.6045811666666663,tanh_sin001_all,1.6581009666666666,False,0.3397302714121598,-0.03716609215735534,0.0705328089432444,True,False,leave_cell,Informer-fullgrid:ETTh2/48,d_layers
Informer-fullgrid,Informer,ETTh2,168,output_tanh,tanh_all_outtanh,2.9963396,bounded_linear,tanh_sin001_all,2.9625697333333334,5.1419857,tanh_sin001_all,2.9625697333333334,False,0.4172796707699907,-0.011398842797421909,0.011398842797421909,False,False,leave_cell,Informer-fullgrid:ETTh2/168,d_layers
Informer-fullgrid,Informer,ETTh2,336,output_tanh,tanh_all_outtanh,2.053870566666667,output_tanh,tanh_all_outtanh,2.053870566666667,3.9278808,tanh_sin001_all,2.1715324666666667,False,0.47710465993095647,0.05418380881065645,0.0,True,True,leave_cell,Informer-fullgrid:ETTh2/336,d_layers
Informer-fullgrid,Informer,ETTh2,720,output_tanh,tanh_all_outtanh,3.298198733333334,output_tanh,tanh_all_outtanh,3.298198733333334,4.088657166666667,tanh_sin001_all,3.619466166666667,False,0.19332959480624903,0.08876099914734203,0.0,True,True,leave_cell,Informer-fullgrid:ETTh2/720,d_layers
