feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
d_layers,0.0010399420637139851,0.30357142857142855,0.028434749445562384,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_multivar_correlation_condition_number,-0.0015969133250315303,0.3392857142857143,0.03129308486999655,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_daily_cycle_energy_ratio,-0.0017570533837786913,0.32142857142857145,0.03145520384517076,0.75,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_timefreq_dominant_frequency_drift,-0.0018720150725061936,0.30357142857142855,0.03157076860717424,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_dominant_frequency_energy_ratio,-0.0018720150725061936,0.30357142857142855,0.03157076860717424,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_harmonic_energy_ratio,-0.0019374763083873702,0.30357142857142855,0.03163765683787368,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_seasonal_peak_strength,-0.0020332449468529147,0.32142857142857145,0.031731678716058885,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_spectral_entropy,-0.0021357766918709215,0.30357142857142855,0.03183453022653897,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
seq_len,-0.00215555626209538,0.3392857142857143,0.03185172780706041,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_jump_intensity,-0.00215555626209538,0.3392857142857143,0.03185172780706041,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
n_heads,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
d_model,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
train_epochs,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
d_ff,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
scope_config_count,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
patch_to_seq_ratio,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
pred_to_seq_ratio,-0.0022125780558620335,0.26785714285714285,0.03191534057505136,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_spectral_entropy,-0.0022755016738474883,0.30357142857142855,0.03197425520851554,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_turbulence_score,-0.0023361411735033505,0.32142857142857145,0.03203415758613596,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0023467601832561206,0.35714285714285715,0.032042115780512845,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
d_layers,0.001827610958661818,0.32142857142857145,0.027857695368959805,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_multivar_correlation_condition_number,-0.0008092444300836975,0.35714285714285715,0.030716030793393974,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/48,train_score
input_daily_cycle_energy_ratio,-0.000969384488830858,0.3392857142857143,0.030878149768568182,0.75,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_timefreq_dominant_frequency_drift,-0.0010843461775583614,0.32142857142857145,0.030993714530571658,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
input_dominant_frequency_energy_ratio,-0.0010843461775583614,0.32142857142857145,0.030993714530571658,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_freq_harmonic_energy_ratio,-0.0011498074134395372,0.32142857142857145,0.0310606027612711,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_freq_seasonal_peak_strength,-0.0012007599312389363,0.3392857142857143,0.031109808518790163,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
input_spectral_entropy,-0.0013481077969230892,0.32142857142857145,0.03125747614993639,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/48,train_score
seq_len,-0.0013678873671475477,0.35714285714285715,0.03127467373045783,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
input_jump_intensity,-0.0013678873671475477,0.35714285714285715,0.03127467373045783,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
n_heads,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
d_model,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
train_epochs,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
d_ff,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
scope_config_count,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
patch_to_seq_ratio,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
pred_to_seq_ratio,-0.001424909160914201,0.2857142857142857,0.03133828649844878,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_freq_spectral_entropy,-0.0014878327788996556,0.32142857142857145,0.03139720113191295,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/48,train_score
input_turbulence_score,-0.001548472278555518,0.3392857142857143,0.03145710350953338,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/48,train_score
router_multivar_missing_or_constant_channel_ratio,-0.001559091288308288,0.375,0.031465061703910266,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/48,train_score
d_layers,0.0013827665513428985,0.30357142857142855,0.028455007230645805,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_multivar_correlation_condition_number,-0.0012540888374026169,0.3392857142857143,0.03131334265507998,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_daily_cycle_energy_ratio,-0.0014142288961497774,0.32142857142857145,0.031475461630254185,0.75,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_timefreq_dominant_frequency_drift,-0.0015291905848772807,0.30357142857142855,0.03159102639225766,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_dominant_frequency_energy_ratio,-0.0015291905848772807,0.30357142857142855,0.03159102639225766,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_harmonic_energy_ratio,-0.0015946518207584567,0.30357142857142855,0.0316579146229571,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_seasonal_peak_strength,-0.0016456043385578557,0.32142857142857145,0.03170712038047616,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_spectral_entropy,-0.0017929522042420087,0.30357142857142855,0.031854788011622386,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/168,train_score
seq_len,-0.001812731774466467,0.3392857142857143,0.03187198559214383,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_jump_intensity,-0.001812731774466467,0.3392857142857143,0.03187198559214383,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
n_heads,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_model,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
train_epochs,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_ff,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
scope_config_count,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
patch_to_seq_ratio,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
pred_to_seq_ratio,-0.0018697535682331205,0.26785714285714285,0.031935598360134786,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_spectral_entropy,-0.0019326771862185745,0.30357142857142855,0.031994512993598956,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_turbulence_score,-0.0019933166858744377,0.32142857142857145,0.032054415371219384,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0020039356956272074,0.35714285714285715,0.032062373565596276,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_layers,0.0015286902769535812,0.32142857142857145,0.028300397341574128,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
pred_to_seq_ratio,-8.157177077012978e-06,0.2857142857142857,0.029881905929695134,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_multivar_correlation_condition_number,-0.0011081651117919341,0.35714285714285715,0.031158732766008296,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_daily_cycle_energy_ratio,-0.0012683051705390945,0.3392857142857143,0.0313208517411825,0.75,leave_cell,Informer-fullgrid:ETTh1/336,train_score
