feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
d_layers,0.001317066892274992,0.28846153846153844,0.027767110165239552,0.7115384615384616,leave_dataset,ETTh1,train_score
router_freq_seasonal_peak_strength,-0.0015226235263740237,0.3269230769230769,0.03084531754539943,0.7692307692307693,leave_dataset,ETTh1,train_score
input_daily_cycle_energy_ratio,-0.0015226235263740237,0.3269230769230769,0.03084531754539943,0.7692307692307693,leave_dataset,ETTh1,train_score
router_multivar_correlation_condition_number,-0.0015226235263740237,0.3269230769230769,0.03084531754539943,0.7692307692307693,leave_dataset,ETTh1,train_score
input_dominant_frequency_energy_ratio,-0.0015226235263740237,0.3269230769230769,0.03084531754539943,0.7692307692307693,leave_dataset,ETTh1,train_score
router_freq_harmonic_energy_ratio,-0.0018893836622956974,0.28846153846153844,0.031216395049267102,0.7307692307692307,leave_dataset,ETTh1,train_score
router_timefreq_dominant_frequency_drift,-0.002011169855238485,0.34615384615384615,0.03133298516134726,0.75,leave_dataset,ETTh1,train_score
router_freq_spectral_entropy,-0.002047014658971442,0.28846153846153844,0.03137248928229241,0.6923076923076923,leave_dataset,ETTh1,train_score
input_spectral_entropy,-0.0020788097744336284,0.3076923076923077,0.031404942448488404,0.7307692307692307,leave_dataset,ETTh1,train_score
seq_len,-0.0021242389970581705,0.3269230769230769,0.031446933016083575,0.7307692307692307,leave_dataset,ETTh1,train_score
input_jump_intensity,-0.0021242389970581705,0.3269230769230769,0.031446933016083575,0.7307692307692307,leave_dataset,ETTh1,train_score
n_heads,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
d_model,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
train_epochs,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
d_ff,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
scope_config_count,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
patch_to_seq_ratio,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
pred_to_seq_ratio,-0.002185647082653029,0.25,0.031515439073919994,0.6923076923076923,leave_dataset,ETTh1,train_score
input_turbulence_score,-0.00222281176452032,0.34615384615384615,0.0315446270706291,0.7115384615384616,leave_dataset,ETTh1,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0023074332755958155,0.3076923076923077,0.03163202918600015,0.7115384615384616,leave_dataset,ETTh1,train_score
input_daily_cycle_energy_ratio,0.0014228130727941487,0.4888888888888889,0.03176561518648408,0.8222222222222222,leave_dataset,ETTh2,train_score
router_freq_seasonal_peak_strength,0.0012787392182746393,0.4666666666666667,0.03191030256759682,0.7777777777777778,leave_dataset,ETTh2,train_score
router_multivar_correlation_condition_number,0.0012787392182746393,0.4666666666666667,0.03191030256759682,0.7777777777777778,leave_dataset,ETTh2,train_score
router_multivar_missing_or_constant_channel_ratio,0.0012787392182746393,0.4666666666666667,0.03191030256759682,0.7777777777777778,leave_dataset,ETTh2,train_score
router_timefreq_dominant_frequency_drift,0.0012787392182746393,0.4666666666666667,0.03191030256759682,0.7777777777777778,leave_dataset,ETTh2,train_score
input_spectral_entropy,0.0009363903769728348,0.4222222222222222,0.03225586455164016,0.7333333333333333,leave_dataset,ETTh2,train_score
input_dominant_frequency_energy_ratio,0.0009101388858385263,0.4666666666666667,0.03227890290003293,0.7555555555555555,leave_dataset,ETTh2,train_score
router_freq_harmonic_energy_ratio,0.0005835391188174029,0.4666666666666667,0.03260550266705405,0.7333333333333333,leave_dataset,ETTh2,train_score
seq_len,0.0005835391188174029,0.4666666666666667,0.03260550266705405,0.7333333333333333,leave_dataset,ETTh2,train_score
n_heads,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
d_model,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
train_epochs,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
d_ff,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
scope_config_count,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
d_layers,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
patch_to_seq_ratio,0.0005125786643522348,0.37777777777777777,0.03268466522277613,0.6888888888888889,leave_dataset,ETTh2,train_score
pred_to_seq_ratio,0.0004639987280817013,0.4888888888888889,0.03272442953119653,0.7333333333333333,leave_dataset,ETTh2,train_score
input_turbulence_score,0.0004605369595753708,0.4444444444444444,0.032731634433672975,0.6666666666666666,leave_dataset,ETTh2,train_score
input_jump_intensity,0.0004598415500484187,0.4444444444444444,0.03273096607991412,0.7333333333333333,leave_dataset,ETTh2,train_score
router_freq_spectral_entropy,0.0003588112290652619,0.4444444444444444,0.03283252639212585,0.7111111111111111,leave_dataset,ETTh2,train_score
