model_scope,dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,action,action_config,action_mse,baseline_config,baseline_mse,oracle_mse,static_mse,oracle_action,static_config,action_gain_vs_baseline,action_regret_vs_oracle,action_gain_vs_static
Informer-fullgrid,ETTh1,24,48,48,2,1,3,baseline,gelu_all,0.5646668,gelu_all,0.5646668,0.5324173,0.5476108000000001,bounded_linear,tanh_sin001_all,0.0,0.060571848435428455,-0.031146208219414148
Informer-fullgrid,ETTh1,24,48,48,2,1,3,bounded_linear,softsign_all,0.5324173,gelu_all,0.5646668,0.5324173,0.5476108000000001,bounded_linear,tanh_sin001_all,0.05711244224027345,0.0,0.02774507003879412
Informer-fullgrid,ETTh1,24,48,48,2,1,3,other_linear,swish_all,0.5560594499999999,gelu_all,0.5646668,0.5324173,0.5476108000000001,bounded_linear,tanh_sin001_all,0.015243237250711613,0.04440530012830146,-0.015428201927353943
Informer-fullgrid,ETTh1,24,48,48,2,1,3,output_tanh,tanh_all_outtanh,0.6078469666666666,gelu_all,0.5646668,0.5324173,0.5476108000000001,bounded_linear,tanh_sin001_all,-0.07647017084529598,0.14167395887899703,-0.10999813492843188
Informer-fullgrid,ETTh1,48,96,48,2,1,5,baseline,gelu_all,0.7389258333333334,gelu_all,0.7389258333333334,0.6459194633333333,0.6560654,bounded_linear,tanh_sin001_all,0.0,0.1439906602597656,-0.12629904478019016
Informer-fullgrid,ETTh1,48,96,48,2,1,5,bounded_linear,softsign_all,0.6459194633333333,gelu_all,0.7389258333333334,0.6459194633333333,0.6560654,bounded_linear,tanh_sin001_all,0.1258669893572992,0.0,0.015464825102294289
Informer-fullgrid,ETTh1,48,96,48,2,1,5,other_linear,swish_all,0.6949180699999999,gelu_all,0.7389258333333334,0.6459194633333333,0.6560654,bounded_linear,tanh_sin001_all,0.05955640112731221,0.07585869361143625,-0.05922072707995258
Informer-fullgrid,ETTh1,48,96,48,2,1,5,output_tanh,tanh_all_outtanh,0.7951248999999999,gelu_all,0.7389258333333334,0.6459194633333333,0.6560654,bounded_linear,tanh_sin001_all,-0.07605508446382171,0.23099696655164526,-0.21195981376246925
Informer-fullgrid,ETTh1,168,168,168,2,1,5,baseline,gelu_all,1.0471051666666666,gelu_all,1.0471051666666666,0.9115707166666668,0.9184072833333332,bounded_linear,tanh_sin001_all,0.0,0.1486823210991327,-0.14013160138084718
Informer-fullgrid,ETTh1,168,168,168,2,1,5,bounded_linear,tanh_all,0.9115707166666668,gelu_all,1.0471051666666666,0.9115707166666668,0.9184072833333332,bounded_linear,tanh_sin001_all,0.12943728511192193,0.0,0.007443937772197655
