feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
d_layers,0.019647835267963692,0.48214285714285715,0.007886356161715288,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_multivar_correlation_condition_number,0.017993157343236015,0.5178571428571429,0.00974320331787812,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_daily_cycle_energy_ratio,0.01779854290377778,0.48214285714285715,0.009939977192326564,0.75,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_timefreq_dominant_frequency_drift,0.01771772493017832,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_dominant_frequency_energy_ratio,0.01771772493017832,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
seq_len,0.017612804927335513,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_jump_intensity,0.017612804927335513,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_harmonic_energy_ratio,0.017574232588868234,0.48214285714285715,0.010167197102230092,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_seasonal_peak_strength,0.017560796763679554,0.5,0.010177826121675528,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_spectral_entropy,0.017459995110643767,0.48214285714285715,0.010278948945482693,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
input_turbulence_score,0.01743222001592754,0.5,0.010305985512854178,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_multivar_missing_or_constant_channel_ratio,0.017393027437314006,0.5357142857142857,0.010342517276091829,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/24,train_score
router_freq_spectral_entropy,0.017345249969894058,0.48214285714285715,0.010393694086232407,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/24,train_score
n_heads,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
d_model,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
train_epochs,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
d_ff,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
scope_config_count,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
patch_to_seq_ratio,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
pred_to_seq_ratio,0.01729880017581054,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/24,train_score
