model_scope,model_family,dataset,pred_len,chosen_action,chosen_config,chosen_mse,oracle_action,oracle_config,oracle_mse,baseline_mse,static_config,static_mse,fallback_used,gain_vs_baseline,gain_vs_static,regret_vs_oracle,action_hit,config_hit,split_mode,fold,selected_feature
Informer-fullgrid,Informer,ETTh1,24,bounded_linear,softsign_all,0.5324173,bounded_linear,softsign_all,0.5324173,0.5646668,tanh_sin001_all,0.5476108000000001,False,0.05711244224027345,0.02774507003879412,0.0,True,True,leave_dataset,ETTh1,d_layers
Informer-fullgrid,Informer,ETTh1,48,bounded_linear,softsign_all,0.6459194633333333,bounded_linear,softsign_all,0.6459194633333333,0.7389258333333334,tanh_sin001_all,0.6560654,False,0.1258669893572992,0.015464825102294289,0.0,True,True,leave_dataset,ETTh1,d_layers
Informer-fullgrid,Informer,ETTh1,168,bounded_linear,tanh_all,0.9115707166666668,bounded_linear,tanh_all,0.9115707166666668,1.0471051666666666,tanh_sin001_all,0.9184072833333332,False,0.12943728511192193,0.007443937772197655,0.0,True,True,leave_dataset,ETTh1,d_layers
Informer-fullgrid,Informer,ETTh1,336,bounded_linear,softsign_all,1.2189896666666666,bounded_linear,softsign_all,1.2189896666666666,1.3606628333333333,tanh_sin001_all,1.2286496666666666,False,0.10412069999707248,0.007862290009981149,0.0,True,True,leave_dataset,ETTh1,d_layers
Informer-fullgrid,Informer,ETTh1,720,bounded_linear,softsign_all,1.4253435666666665,output_tanh,tanh_all_outtanh,1.3278413666666666,1.4126485333333332,tanh_sin001_all,1.4697910666666667,False,-0.008986689210923327,0.03024069271342253,0.07342910263803842,False,False,leave_dataset,ETTh1,d_layers
Informer-fullgrid,Informer,ETTh2,24,bounded_linear,tanh_sin001_all,0.5158879133333333,bounded_linear,tanh_sin001_all,0.5158879133333333,0.7238337133333334,tanh_sin001_all,0.5158879133333333,False,0.28728393852006,0.0,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
Informer-fullgrid,Informer,ETTh2,48,bounded_linear,softsign_all,1.6064207333333334,bounded_linear,softsign_all,1.6064207333333334,2.6045811666666663,tanh_sin001_all,1.6581009666666666,False,0.3832326080322446,0.031168327123786494,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
Informer-fullgrid,Informer,ETTh2,168,bounded_linear,tanh_sin001_all,2.9625697333333334,bounded_linear,tanh_sin001_all,2.9625697333333334,5.1419857,tanh_sin001_all,2.9625697333333334,False,0.42384714657348554,0.0,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
Informer-fullgrid,Informer,ETTh2,336,bounded_linear,tanh_sin001_all,2.1715324666666667,output_tanh,tanh_all_outtanh,2.053870566666667,3.9278808,tanh_sin001_all,2.1715324666666667,False,0.4471490920328675,0.0,0.05728788459681736,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
Informer-fullgrid,Informer,ETTh2,720,bounded_linear,tanh_sin001_all,3.619466166666667,output_tanh,tanh_all_outtanh,3.298198733333334,4.088657166666667,tanh_sin001_all,3.619466166666667,False,0.11475430217655393,0.0,0.09740693612135481,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
PatchTST-transfer,PatchTST,ETTh2,168,bounded_linear,tanh_ffn_linear,0.3310161928335826,baseline,gelu_ffn_linear,0.3258797923723855,0.3258797923723855,gelu_ffn_linear,0.3258797923723855,False,-0.015761641505305915,-0.015761641505305915,0.015761641505305915,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
