feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
router_freq_seasonal_peak_strength,0.002168100882235012,0.3333333333333333,0.0006320388849271771,0.8571428571428571,leave_family,Informer,train_score
router_multivar_correlation_condition_number,0.001633061121104707,0.3333333333333333,0.0011659480859984893,0.8571428571428571,leave_family,Informer,train_score
patch_to_seq_ratio,0.0011538277731670031,0.3333333333333333,0.0016463119939951862,0.7619047619047619,leave_family,Informer,train_score
seq_len,0.0011538277731670031,0.3333333333333333,0.0016463119939951862,0.7619047619047619,leave_family,Informer,train_score
input_dominant_frequency_energy_ratio,0.0011538277731670031,0.3333333333333333,0.0016463119939951862,0.7619047619047619,leave_family,Informer,train_score
input_jump_intensity,0.0011538277731670031,0.3333333333333333,0.0016463119939951862,0.7619047619047619,leave_family,Informer,train_score
input_turbulence_score,0.0011538277731670031,0.3333333333333333,0.0016463119939951862,0.7619047619047619,leave_family,Informer,train_score
router_multivar_missing_or_constant_channel_ratio,0.0010510697264831971,0.38095238095238093,0.0017468941801235278,0.8095238095238095,leave_family,Informer,train_score
router_freq_harmonic_energy_ratio,0.0010509682039209322,0.23809523809523808,0.001762688976532436,0.7619047619047619,leave_family,Informer,train_score
input_daily_cycle_energy_ratio,0.0007302670060806874,0.3333333333333333,0.002069872761081502,0.7619047619047619,leave_family,Informer,train_score
router_timefreq_dominant_frequency_drift,0.00041549681192370585,0.3333333333333333,0.0023910648608606463,0.7619047619047619,leave_family,Informer,train_score
router_freq_spectral_entropy,0.00036613124363475783,0.19047619047619047,0.0024483823922089565,0.6666666666666666,leave_family,Informer,train_score
input_spectral_entropy,0.00035749781525543306,0.2857142857142857,0.002453983504642471,0.7142857142857143,leave_family,Informer,train_score
n_heads,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
d_model,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
train_epochs,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
d_ff,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
scope_config_count,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
d_layers,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
pred_to_seq_ratio,0.00031648176910041787,0.14285714285714285,0.0025040644647191575,0.6666666666666666,leave_family,Informer,train_score
d_layers,0.025067196556550247,0.6222222222222222,0.008789796837340156,0.7555555555555555,leave_family,PatchTST,train_score
input_daily_cycle_energy_ratio,0.022244526364572307,0.5777777777777777,0.011873050829294421,0.7555555555555555,leave_family,PatchTST,train_score
input_dominant_frequency_energy_ratio,0.022244526364572307,0.5777777777777777,0.011873050829294421,0.7555555555555555,leave_family,PatchTST,train_score
input_jump_intensity,0.022244526364572307,0.5777777777777777,0.011873050829294421,0.7555555555555555,leave_family,PatchTST,train_score
input_turbulence_score,0.022244526364572307,0.5777777777777777,0.011873050829294421,0.7555555555555555,leave_family,PatchTST,train_score
n_heads,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
d_model,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
train_epochs,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
d_ff,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
scope_config_count,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
patch_to_seq_ratio,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_freq_seasonal_peak_strength,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_multivar_correlation_condition_number,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_multivar_missing_or_constant_channel_ratio,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_freq_harmonic_energy_ratio,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_timefreq_dominant_frequency_drift,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
input_spectral_entropy,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
seq_len,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
pred_to_seq_ratio,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
router_freq_spectral_entropy,0.022143952886315207,0.5777777777777777,0.011974151902245718,0.7333333333333333,leave_family,PatchTST,train_score
d_layers,0.023362035997784424,0.5208333333333334,0.009065534972347977,0.7083333333333334,leave_family,iTransformer,train_score
router_multivar_correlation_condition_number,0.02143157841893546,0.5625,0.01123185665453795,0.7708333333333334,leave_family,iTransformer,train_score
input_daily_cycle_energy_ratio,0.02111024060370148,0.5208333333333334,0.01155620843061964,0.7291666666666666,leave_family,iTransformer,train_score
router_timefreq_dominant_frequency_drift,0.02111024060370148,0.5208333333333334,0.01155620843061964,0.7291666666666666,leave_family,iTransformer,train_score
input_spectral_entropy,0.02111024060370148,0.5208333333333334,0.01155620843061964,0.7291666666666666,leave_family,iTransformer,train_score
input_dominant_frequency_energy_ratio,0.02111024060370148,0.5208333333333334,0.01155620843061964,0.7291666666666666,leave_family,iTransformer,train_score
seq_len,0.020987833933718208,0.5625,0.011675601139755203,0.7291666666666666,leave_family,iTransformer,train_score
input_jump_intensity,0.020987833933718208,0.5625,0.011675601139755203,0.7291666666666666,leave_family,iTransformer,train_score
router_multivar_missing_or_constant_channel_ratio,0.020854711544436424,0.5625,0.011808146289277241,0.7291666666666666,leave_family,iTransformer,train_score
input_turbulence_score,0.02081603767354594,0.5416666666666666,0.011849459421782166,0.6875,leave_family,iTransformer,train_score
router_freq_harmonic_energy_ratio,0.02073138244590546,0.5208333333333334,0.011937966495882838,0.7083333333333334,leave_family,iTransformer,train_score
router_freq_seasonal_peak_strength,0.020675686483369846,0.5208333333333334,0.011990762550951281,0.6666666666666666,leave_family,iTransformer,train_score
router_freq_spectral_entropy,0.020675686483369846,0.5208333333333334,0.011990762550951281,0.6666666666666666,leave_family,iTransformer,train_score
n_heads,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
d_model,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
train_epochs,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
d_ff,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
scope_config_count,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
patch_to_seq_ratio,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
pred_to_seq_ratio,0.02062149505693907,0.4791666666666667,0.012050867845696941,0.6875,leave_family,iTransformer,train_score
