dataset,pred_len,best_config,best_mse,baseline_mse,model,baseline_config,best_gain_vs_baseline,non_baseline_best
ETTh1,24,softsign_all,0.5324173,0.5646668,Informer,gelu_all,0.05711244224027345,True
ETTh1,48,softsign_all,0.6459194633333333,0.7389258333333334,Informer,gelu_all,0.1258669893572992,True
ETTh1,168,tanh_all,0.9115707166666668,1.0471051666666666,Informer,gelu_all,0.12943728511192193,True
ETTh1,336,softsign_all,1.2189896666666666,1.3606628333333333,Informer,gelu_all,0.10412069999707248,True
ETTh1,720,tanh_all_outtanh,1.3278413666666666,1.4126485333333332,Informer,gelu_all,0.06003415900383423,True
ETTh2,24,tanh_sin001_all,0.5158879133333333,0.7238337133333334,Informer,gelu_all,0.28728393852006,True
ETTh2,48,softsign_all,1.6064207333333334,2.6045811666666663,Informer,gelu_all,0.3832326080322446,True
ETTh2,168,tanh_sin001_all,2.9625697333333334,5.1419857,Informer,gelu_all,0.42384714657348554,True
ETTh2,336,tanh_all_outtanh,2.053870566666667,3.9278808,Informer,gelu_all,0.47710465993095647,True
ETTh2,720,tanh_all_outtanh,3.298198733333334,4.088657166666667,Informer,gelu_all,0.19332959480624903,True
ETTm1,24,tanh_all,0.3144746066666666,0.36323779,Informer,gelu_all,0.13424589807501416,True
ETTm1,48,tanh_all,0.4533515166666667,0.5090825200000001,Informer,gelu_all,0.10947341765600871,True
ETTm1,96,tanh_sin001_all,0.5593670199999999,0.6162993133333333,Informer,gelu_all,0.09237766796365199,True
ETTm1,288,tanh_all,0.8019380233333333,0.8856588200000001,Informer,gelu_all,0.0945293997824882,True
ETTm1,672,softsign_all,0.92203278,1.002575233333333,Informer,gelu_all,0.08033557049434373,True
ETTm2,24,tanh_all,0.6846686166666666,1.2393198333333333,Informer,gelu_all,0.44754485625784796,True
ETTm2,48,softsign_all,0.30922799,0.39631575,Informer,gelu_all,0.21974337381242107,True
ETTm2,96,tanh_sin001_all,1.3350371,1.6045523666666668,Informer,gelu_all,0.16796913099605704,True
ETTm2,288,tanh_all_outtanh,2.3545683,5.329461733333333,Informer,gelu_all,0.5581977284360149,True
ETTm2,672,tanh_all_outtanh,2.8509023666666664,7.812617166666667,Informer,gelu_all,0.6350899697440271,True
Solar1,24,swish_all,0.1504306033333333,0.15319326,Informer,gelu_all,0.018033800355620713,True
Solar1,96,softsign_all,0.2238896466666666,0.2299245,Informer,gelu_all,0.026247108652333245,True
Solar2,24,tanh_all,0.0660672966666666,0.07067754,Informer,gelu_all,0.06522925576262845,True
Solar2,96,tanh_all,0.1079668713333333,0.121002457,Informer,gelu_all,0.10772992540694191,True
Solar3,24,gelu_all,0.19754754,0.19754754,Informer,gelu_all,0.0,False
Solar3,96,gelu_all,0.3490070666666667,0.3490070666666667,Informer,gelu_all,0.0,False
Solar4,24,tanh_sin001_all,0.2198203,0.22417717,Informer,gelu_all,0.019434940676608652,True
Solar4,96,enc_tanh_dec_gelu,0.2904489733333333,0.2962589366666666,Informer,gelu_all,0.019611098988957465,True
Solar5,24,swish_all,0.1086942266666666,0.11345904,Informer,gelu_all,0.04199588973547983,True
Solar5,96,enc_tanh_dec_gelu,0.1803903966666666,0.1952658699999999,Informer,gelu_all,0.07618061125240838,True
Solar6,24,tanh_sin001_all,0.2647689099999999,0.2678011566666666,Informer,gelu_all,0.011322754182279111,True
Solar6,96,tanh_sin001_all,0.35758402,0.3658587066666667,Informer,gelu_all,0.022617164812222854,True
Solar7,24,relu_all,3.280724533333333,3.861249133333333,Informer,gelu_all,0.1503463205698012,True
Solar7,96,enc_tanh_dec_gelu,4.969628033333334,7.969580333333333,Informer,gelu_all,0.37642537932047526,True
Solar8,24,tanh_sin001_all,0.21601371,0.2176429366666666,Informer,gelu_all,0.007485777813969926,True
Solar8,96,softsign_all,0.30559342,0.31376261,Informer,gelu_all,0.02603621253660528,True
ETTh2,168,gelu_ffn_linear,0.3258797923723855,0.3258797923723855,PatchTST,gelu_ffn_linear,0.0,False
ETTh2,336,gelu_ffn_linear,0.3284500340620677,0.3284500340620677,PatchTST,gelu_ffn_linear,0.0,False
ETTh2,720,softsign_ffn_linear,0.3783149619897206,0.3808809022108714,PatchTST,gelu_ffn_linear,0.00673685712845271,True
ETTm2,96,gelu_ffn_linear,0.1655888458093007,0.1655888458093007,PatchTST,gelu_ffn_linear,0.0,False
ETTm2,288,gelu_ffn_linear,0.2627387841542561,0.2627387841542561,PatchTST,gelu_ffn_linear,0.0,False
ETTm2,672,gelu_ffn_linear,0.3552324970563252,0.3552324970563252,PatchTST,gelu_ffn_linear,0.0,False
Solar2,24,tanh_sin001_ffn_linear,0.0651733204722403,0.0654503032565115,PatchTST,gelu_ffn_linear,0.004231955705165388,True
Solar2,96,softsign_ffn_linear,0.0985503618915875,0.0996658479173978,PatchTST,gelu_ffn_linear,0.011192259426065412,True
Solar3,24,gelu_ffn_linear,0.2790345549583435,0.2790345549583435,PatchTST,gelu_ffn_linear,0.0,False
Solar3,96,gelu_ffn_linear,0.4464092453320821,0.4464092453320821,PatchTST,gelu_ffn_linear,0.0,False
Solar5,24,tanh_sin001_ffn_linear,0.1132596855362256,0.1147918154795964,PatchTST,gelu_ffn_linear,0.013347031205749323,True
Solar5,96,softsign_ffn_linear,0.1745828092098235,0.1763663589954376,PatchTST,gelu_ffn_linear,0.010112755038846356,True
ETTh2,96,gelu_ffn_linear,0.3015976250171661,0.3015976250171661,iTransformer-stage1,gelu_ffn_linear,0.0,False
ETTh2,336,gelu_ffn_linear,0.4228940308094024,0.4228940308094024,iTransformer-stage1,gelu_ffn_linear,0.0,False
ETTh2,720,gelu_ffn_linear,0.4289864897727966,0.4289864897727966,iTransformer-stage1,gelu_ffn_linear,0.0,False
ETTm2,96,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,iTransformer-stage1,gelu_ffn_linear,0.0019369590091358612,True
ETTm2,336,gelu_ffn_linear,0.3134183883666992,0.3134183883666992,iTransformer-stage1,gelu_ffn_linear,0.0,False
ETTm2,720,gelu_ffn_linear,0.414091557264328,0.414091557264328,iTransformer-stage1,gelu_ffn_linear,0.0,False
ETTh2,96,gelu_ffn_outtanh,0.2996672689914703,0.3015976250171661,iTransformer-placeprobe,gelu_ffn_linear,0.006400435101522866,True
ETTm2,96,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,iTransformer-placeprobe,gelu_ffn_linear,0.0019369590091358612,True
ETTm2,720,tanh_ffn_outtanh,0.408508151769638,0.414091557264328,iTransformer-placeprobe,gelu_ffn_linear,0.013483504787145247,True
