dataset,pred_len,best_config,best_mse,baseline_mse,model,baseline_config,best_gain_vs_baseline,non_baseline_best,input_cv,input_spectral_entropy,input_dominant_frequency_energy_ratio,router_multivar_channel_heterogeneity_cv,router_timefreq_burstiness_index,router_freq_seasonal_peak_strength
ETTh1,24,softsign_all,0.5324173,0.5646668,Informer,gelu_all,0.05711244224027345,True,0.7967070539619212,0.4950578464281185,0.6072463343843816,1.0087117527785767,4.882130742207674,0.7573222881860888
ETTh1,48,softsign_all,0.6459194633333333,0.7389258333333334,Informer,gelu_all,0.1258669893572992,True,0.7993992669352733,0.4935194622847563,0.6081647365370012,1.0098214763454048,3.710320823459903,0.2720321732558584
ETTh1,168,tanh_all,0.9115707166666668,1.0471051666666666,Informer,gelu_all,0.12943728511192193,True,0.8226150396059997,0.4892894345066513,0.610509326015699,1.0040050364680313,3.01552406057758,0.1718477292295532
ETTh1,336,softsign_all,1.2189896666666666,1.3606628333333333,Informer,gelu_all,0.10412069999707248,True,0.8575499339802937,0.4867079493064265,0.6114249468224354,0.9904692576631478,3.01698878492809,0.1739122716680032
ETTh1,720,tanh_all_outtanh,1.3278413666666666,1.4126485333333332,Informer,gelu_all,0.06003415900383423,True,0.795052701657987,0.4737049677607965,0.6282488732732279,1.0106111363201395,3.0706373188284704,0.1262304908071692
ETTh2,24,tanh_sin001_all,0.5158879133333333,0.7238337133333334,Informer,gelu_all,0.28728393852006,True,0.2745923774480792,0.2528042862762251,0.7739448224552787,0.7201860842092576,5.738165241466376,0.853461160855958
ETTh2,48,softsign_all,1.6064207333333334,2.6045811666666663,Informer,gelu_all,0.3832326080322446,True,0.275997445597688,0.2507518233591921,0.7755911441653586,0.6997849156995966,3.756135042541108,0.6093946346794654
ETTh2,168,tanh_sin001_all,2.9625697333333334,5.1419857,Informer,gelu_all,0.42384714657348554,True,0.2569226703591692,0.2528651461941329,0.7727607716069,0.6650913410058861,2.1935709294758867,0.4354554671579251
ETTh2,336,tanh_all_outtanh,2.053870566666667,3.9278808,Informer,gelu_all,0.47710465993095647,True,0.2384534101455233,0.2555520393009191,0.7732766459177887,0.6643877639350042,2.242864170320537,0.4309676699226939
ETTh2,720,tanh_all_outtanh,3.298198733333334,4.088657166666667,Informer,gelu_all,0.19332959480624903,True,0.2085925864899145,0.2491514573929363,0.784393498403086,0.6678131303189667,1.933168450771093,0.3722033897904349
ETTm1,24,tanh_all,0.3144746066666666,0.36323779,Informer,gelu_all,0.13424589807501416,True,1.3062978100067495,0.3736779403235985,0.6000517284429082,1.016990851876498,3.0639762681292018,0.162969002590418
ETTm1,48,tanh_all,0.4533515166666667,0.5090825200000001,Informer,gelu_all,0.10947341765600871,True,1.313352469997499,0.3767890106682051,0.596405295605841,1.0021540069549484,4.809146707808203,0.7090269773675708
