config_name,model,mean_rank,best_cells,mean_mse,cell_count
tanh_sin001_all,Informer,2.7777777777777777,8,1.1329104522314815,36
tanh_all,Informer,3.1944444444444446,7,1.1369127585648147,36
softsign_all,Informer,3.4722222222222223,8,1.15176244825,36
enc_tanh_dec_gelu,Informer,4.833333333333333,3,1.276161843138889,36
swish_all,Informer,4.888888888888889,2,1.3939249027777778,36
enc_gelu_dec_tanh,Informer,5.666666666666667,0,1.4693303733796297,36
gelu_all,Informer,6.222222222222222,2,1.564346569361111,36
relu_all,Informer,6.833333333333333,1,1.6292688927407406,36
tanh_all_outtanh,Informer,7.111111111111111,5,1.5447701686111113,36
gelu_ffn_linear,PatchTST,2.25,7,0.250040748467048,12
tanh_ffn_linear,PatchTST,2.5,0,0.25147366130517584,12
tanh_sin001_ffn_linear,PatchTST,2.5833333333333335,2,0.25146778797109914,12
softsign_ffn_linear,PatchTST,2.9166666666666665,3,0.2517868272132343,12
gelu_ffn_outtanh,PatchTST,5.5,0,0.3405648014611668,6
tanh_ffn_outtanh,PatchTST,5.5,0,0.34168465849426055,6
tanh_sin001_ffn_outtanh,PatchTST,6.5,0,0.34183781759606463,6
gelu_ffn_linear,iTransformer-stage1,1.5,5,0.34420233964920044,6
softsign_ffn_linear,iTransformer-stage1,2.8333333333333335,0,0.34665238360563916,6
tanh_ffn_linear,iTransformer-stage1,2.8333333333333335,0,0.34709813445806503,6
tanh_sin001_ffn_linear,iTransformer-stage1,2.8333333333333335,1,0.34710247069597244,6
swish_ffn_outtanh,iTransformer-placeprobe,5.333333333333333,0,0.29843440155188233,3
swish_ffn_linear,iTransformer-placeprobe,5.666666666666667,0,0.2999190539121627,3
tanh_ffn_outtanh,iTransformer-placeprobe,5.666666666666667,1,0.29840369025866187,3
gelu_ffn_linear,iTransformer-placeprobe,6.0,0,0.29997170964876807,3
gelu_ffn_outtanh,iTransformer-placeprobe,6.0,1,0.2985555032889048,3
tanh_sin001_ffn_outtanh,iTransformer-placeprobe,6.0,0,0.2984147916237513,3
relu_ffn_outtanh,iTransformer-placeprobe,6.333333333333333,0,0.2985512415568034,3
softsign_ffn_outtanh,iTransformer-placeprobe,6.333333333333333,0,0.2987219542264938,3
relu_ffn_linear,iTransformer-placeprobe,6.666666666666667,0,0.3001007040341695,3
tanh_sin001_ffn_linear,iTransformer-placeprobe,7.333333333333333,1,0.3003487139940262,3
tanh_ffn_linear,iTransformer-placeprobe,8.0,0,0.3003760427236557,3
softsign_ffn_linear,iTransformer-placeprobe,8.666666666666666,0,0.3007883628209432,3
