target,feature,feature_group,n,spearman,pearson,abs_spearman
gain_tanh_all_outtanh_vs_gelu,router_timefreq_burstiness_index,timefreq,36,-0.7783783783783784,-0.5492749751842525,0.7783783783783784
gain_softsign_all_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.774774774774775,-0.7711545816620183,0.774774774774775
gain_best_bounded_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.7688545688545689,-0.7970102434948645,0.7688545688545689
gain_tanh_sin001_all_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.7688545688545689,-0.7940819981376275,0.7688545688545689
static_gain_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.7688545688545689,-0.7940819981376275,0.7688545688545689
gain_tanh_all_outtanh_vs_gelu,router_time_late_early_level_shift,time,36,-0.7675675675675677,-0.4169995307007833,0.7675675675675677
gain_tanh_all_outtanh_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.7554697554697556,-0.5814774900376084,0.7554697554697556
gain_tanh_all_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.754954954954955,-0.7998230859267943,0.754954954954955
gain_tanh_all_outtanh_vs_gelu,router_time_iqr_mad_ratio,time,36,-0.7474903474903476,-0.27979669395817397,0.7474903474903476
gain_best_bounded_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.7428571428571429,0.8093692918889874,0.7428571428571429
oracle_gain_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.74251882514268,-0.7669164974444441,0.74251882514268
oracle_gain_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.7291331503611167,-0.6123922649558018,0.7291331503611167
gain_softsign_all_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.7263835263835263,0.7788305506688222,0.7263835263835263
oracle_gain_vs_gelu,input_cv,input,36,-0.7201235615658337,-0.7608625576744098,0.7201235615658337
gain_tanh_sin001_all_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.7189189189189189,0.799869696977109,0.7189189189189189
static_gain_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.7189189189189189,0.799869696977109,0.7189189189189189
gain_tanh_all_outtanh_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.7155727155727157,-0.5238909253791173,0.7155727155727157
oracle_gain_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.7059656363161033,0.7902099378634093,0.7059656363161033
oracle_gain_vs_gelu,router_time_late_early_level_shift,time,36,-0.7031340512661572,-0.146390671521913,0.7031340512661572
gain_tanh_all_outtanh_vs_gelu,router_freq_harmonic_energy_ratio,freq,36,-0.7011583011583012,-0.5342959976164847,0.7011583011583012
gain_tanh_all_outtanh_vs_gelu,router_time_robust_scale_ratio,time,36,-0.6944658944658946,-0.2631083007993594,0.6944658944658946
gain_tanh_all_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.6921492921492922,0.8037027246380845,0.6921492921492922
gain_tanh_all_outtanh_vs_gelu,router_freq_seasonal_peak_strength,freq,36,-0.6913770913770915,-0.5590763060259,0.6913770913770915
gain_outtanh_vs_tanh,router_freq_dominant_period_to_horizon_ratio,freq,36,-0.6880022909583732,-0.18614740649024342,0.6880022909583732
gain_best_bounded_vs_gelu,router_time_near_zero_fraction,time,36,-0.6877734877734878,-0.5277982107818636,0.6877734877734878
gain_best_bounded_vs_gelu,router_timefreq_rolling_spectral_entropy_std,timefreq,36,-0.6875160875160876,-0.6359883321691566,0.6875160875160876
gain_tanh_sin001_all_vs_gelu,router_time_near_zero_fraction,time,36,-0.6800514800514801,-0.5254474882740702,0.6800514800514801
