feature,inner_mean_gain_vs_static,inner_positive_vs_static_rate,inner_mean_regret_vs_oracle,inner_top1_hit_rate,outer_mode,outer_fold
router_freq_seasonal_peak_strength,-0.0036857845538066656,0.2,0.05141778566371174,0.17142857142857143,loco,"('ETTh1', 24)"
input_volatility_ratio_late_early,-0.006173469872285528,0.2857142857142857,0.05397213320543945,0.22857142857142856,loco,"('ETTh1', 24)"
router_time_late_early_level_shift,-0.010022168510022985,0.22857142857142856,0.05797148153789635,0.14285714285714285,loco,"('ETTh1', 24)"
router_time_near_zero_fraction,-0.012059130695871048,0.2571428571428571,0.059947347758107214,0.17142857142857143,loco,"('ETTh1', 24)"
router_time_robust_scale_ratio,-0.01268337817055775,0.11428571428571428,0.06058873219405894,0.14285714285714285,loco,"('ETTh1', 24)"
router_multivar_channel_heterogeneity_cv,-0.012749414720023194,0.2,0.06063527732418003,0.11428571428571428,loco,"('ETTh1', 24)"
router_multivar_target_channel_dominance,-0.012794846372811204,0.22857142857142856,0.06070770928119497,0.17142857142857143,loco,"('ETTh1', 24)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07373142087013913,0.11428571428571428,loco,"('ETTh1', 24)"
router_time_iqr_mad_ratio,-0.02658040074732014,0.11428571428571428,0.07694314568558673,0.17142857142857143,loco,"('ETTh1', 24)"
router_freq_harmonic_energy_ratio,-0.028453270897382445,0.0,0.07939335165324889,0.2,loco,"('ETTh1', 24)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.07956955430278917,0.11428571428571428,loco,"('ETTh1', 24)"
router_freq_dominant_period_to_horizon_ratio,-0.04149539600087352,0.14285714285714285,0.09465924962499023,0.17142857142857143,loco,"('ETTh1', 24)"
router_timefreq_rolling_spectral_entropy_std,-0.0429582180362665,0.22857142857142856,0.0937119824427017,0.17142857142857143,loco,"('ETTh1', 24)"
router_multivar_cross_channel_mean_abs_corr,-0.051197140332693854,0.05714285714285714,0.10359788372158484,0.17142857142857143,loco,"('ETTh1', 24)"
router_time_outlier_mass_z3,-0.07298165768841094,0.02857142857142857,0.12494155766582316,0.14285714285714285,loco,"('ETTh1', 24)"
input_volatility_ratio_late_early,-0.005822605731242676,0.2857142857142857,0.05397213320543945,0.22857142857142856,loco,"('ETTh1', 48)"
router_multivar_target_channel_dominance,-0.007818022461726368,0.3142857142857143,0.055883157591008516,0.2571428571428571,loco,"('ETTh1', 48)"
router_time_late_early_level_shift,-0.009045625007456754,0.22857142857142856,0.05732961117225214,0.11428571428571428,loco,"('ETTh1', 48)"
router_multivar_channel_heterogeneity_cv,-0.011949493353677086,0.22857142857142856,0.06017167484503538,0.11428571428571428,loco,"('ETTh1', 48)"
router_time_near_zero_fraction,-0.012080202521675524,0.2571428571428571,0.06033028144347462,0.14285714285714285,loco,"('ETTh1', 48)"
router_time_robust_scale_ratio,-0.01268337817055775,0.11428571428571428,0.060955277442299685,0.14285714285714285,loco,"('ETTh1', 48)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07409796611837988,0.11428571428571428,loco,"('ETTh1', 48)"
router_time_iqr_mad_ratio,-0.027363771878960993,0.11428571428571428,0.07809306206546833,0.14285714285714285,loco,"('ETTh1', 48)"
router_timefreq_burstiness_index,-0.035042888554169885,0.14285714285714285,0.08580668711647338,0.11428571428571428,loco,"('ETTh1', 48)"
router_freq_dominant_period_to_horizon_ratio,-0.042278767132514376,0.14285714285714285,0.09580916600487183,0.14285714285714285,loco,"('ETTh1', 48)"
router_timefreq_rolling_spectral_entropy_std,-0.04260735389522365,0.22857142857142856,0.0937119824427017,0.17142857142857143,loco,"('ETTh1', 48)"
router_multivar_cross_channel_mean_abs_corr,-0.04993687010077732,0.08571428571428572,0.10267459719902071,0.17142857142857143,loco,"('ETTh1', 48)"
router_freq_harmonic_energy_ratio,-0.054666718536363935,0.11428571428571428,0.10682781554172487,0.2,loco,"('ETTh1', 48)"
router_freq_seasonal_peak_strength,-0.05509746659924145,0.2,0.1072318258026529,0.14285714285714285,loco,"('ETTh1', 48)"
router_time_outlier_mass_z3,-0.07078783836907485,0.02857142857142857,0.12308188827782805,0.14285714285714285,loco,"('ETTh1', 48)"
input_volatility_ratio_late_early,-0.004935872635391351,0.3142857142857143,0.0533096367365306,0.2571428571428571,loco,"('ETTh1', 168)"
router_time_late_early_level_shift,-0.004974607017410974,0.3142857142857143,0.05335891946451383,0.22857142857142856,loco,"('ETTh1', 168)"
