model_scope,target_kind,abstain,feature,train_gain_vs_static,train_regret_vs_oracle,fold,eval_name,feature_set,variant
Informer-fullgrid,action,True,input_volatility,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_anomaly_density_intensity,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_turbulence_score,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_mean,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_std,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_cv,0.0,0.047767402134428344,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_volatility,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_anomaly_density_intensity,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_turbulence_score,0.0020542965777412504,0.0017618132929429012,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_mean,0.00031845692675484615,0.003510467095518839,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_std,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_cv,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_cv,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_volatility,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_anomaly_density_intensity,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_turbulence_score,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_mean,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_std,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_cv,0.0,0.04813394738266908,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_volatility,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_anomaly_density_intensity,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_turbulence_score,0.0020542965777412504,0.0017618132929429012,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_mean,0.00031845692675484615,0.003510467095518839,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_std,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_cv,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_cv,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_volatility,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_anomaly_density_intensity,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_turbulence_score,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_mean,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_std,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_cv,0.0,0.048368461012209985,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_volatility,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_anomaly_density_intensity,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_turbulence_score,0.0020542965777412504,0.0017618132929429012,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_mean,0.00031845692675484615,0.003510467095518839,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_std,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_cv,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_cv,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/168,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_volatility,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_anomaly_density_intensity,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_turbulence_score,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_mean,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_std,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
Informer-fullgrid,action,True,input_cv,0.0,0.04835632301456698,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_volatility,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_anomaly_density_intensity,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_turbulence_score,0.0020542965777412504,0.0017618132929429012,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_mean,0.00031845692675484615,0.003510467095518839,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_std,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
PatchTST-transfer,action,True,input_cv,0.002717926075679509,0.0010932923596575512,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
iTransformer-stage1,action,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/336,leave_cell,data_only,data_only:action:abstain
