model_scope,target_kind,abstain,feature,train_gain_vs_static,train_regret_vs_oracle,fold,eval_name,feature_set,variant
Informer-fullgrid,config,True,input_volatility,0.012097933170833899,0.03149033157715961,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.01276351666709736,0.030799481168447298,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.010275355076092427,0.03335520496447955,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.005834779770667969,0.03967710917062346,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.001696778101893806,0.04752022673437105,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.03980270260088685,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh1/24,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.013358203402750433,0.030567045054595482,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.014023786899013893,0.02987619464588317,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.011535625308008961,0.032431918441915425,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.007095050002584502,0.038753822648059336,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.0004365078699772742,0.04659694021180692,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.040169247849127586,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh1/48,leave_cell,data_only,data_only:config:abstain
