dataset,pred_len,config_name,activation_signature,seed,mse,gelu_mse,relative_mse_improvement_vs_gelu,mae,gelu_mae
ETTh1,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,1.0804485,1.0657133,-0.013826607962948231,0.84023726,0.82949114
ETTh1,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,1.0658215,1.0512393,-0.013871437264569532,0.8385472,0.83690554
ETTh1,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,1.0437962,1.0243629,-0.018971108774048714,0.8182159,0.810384
ETTh1,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2024,0.99049586,1.0657133,0.07057943257346988,0.79960966,0.82949114
ETTh1,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2025,1.0507537,1.0512393,0.00046193097993955793,0.8302327,0.83690554
ETTh1,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2026,1.024241,1.0243629,0.00011900079551897001,0.8211098,0.810384
ETTh1,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2024,0.83075005,1.0657133,0.2204751033885005,0.71554816,0.82949114
ETTh1,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2025,1.0624226,1.0512393,-0.010638205782451358,0.8054409,0.83690554
ETTh1,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2026,0.8415395,1.0243629,0.17847522591847095,0.7103766,0.810384
ETTh1,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2024,0.8545304,1.0657133,0.19816108140904318,0.7191815,0.82949114
ETTh1,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2025,1.101874,1.0512393,-0.048166673373036976,0.8226144,0.83690554
ETTh1,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2026,0.84171855,1.0243629,0.17830043434802267,0.70412827,0.810384
ETTh1,168,tanh_sin001_all,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,2024,0.8092524,1.0657133,0.24064717968706975,0.7009735,0.82949114
ETTh1,168,tanh_sin001_all,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,2025,1.0965675,1.0512393,-0.04311882175637834,0.82559556,0.83690554
ETTh1,168,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,2024,0.9983561,1.0657133,0.06320386542984882,0.79407793,0.82949114
ETTh1,168,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,2025,1.1464927,1.0512393,-0.09061057743940894,0.8324017,0.83690554
ETTh1,168,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,2026,0.9627616,1.0243629,0.06013620758815072,0.78266907,0.810384
ETTh1,168,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,2024,1.0271759,1.0657133,0.03616113264233453,0.8279396,0.82949114
ETTh1,168,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,2025,1.0717857,1.0512393,-0.019544931396685766,0.82942885,0.83690554
ETTh1,168,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,2026,1.0684856,1.0243629,-0.04307330927350059,0.81105405,0.810384
ETTh1,168,tanh_all_outtanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,2024,1.1038196,1.0657133,-0.0357566148419091,0.8391866,0.82949114
ETTh1,168,tanh_all_outtanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,2025,1.1205685,1.0512393,-0.06594996971669542,0.8434505,0.83690554
ETTh1,168,tanh_all_outtanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,2026,1.0927366,1.0243629,-0.06674753644435968,0.8623205,0.810384
ETTh1,336,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,1.3759632,1.3305875,-0.0341020038141046,0.94594246,0.9223949
ETTh1,336,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,1.4501113,1.3752171,-0.05445991036615247,1.0017823,0.95954883
ETTh1,336,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,1.3070602,1.3761839,0.05022853413704376,0.93093,0.9618819
ETTh1,336,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2024,1.2908428,1.3305875,0.029870038610764017,0.9034045,0.9223949
ETTh1,336,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2025,1.254005,1.3752171,0.0881403379873621,0.902092,0.95954883
ETTh1,336,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2026,1.3428323,1.3761839,0.024234842450925373,0.9504598,0.9618819
ETTh1,336,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2024,1.2957971,1.3305875,0.026146645748588583,0.9306075,0.9223949
ETTh1,336,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2025,1.2459644,1.3752171,0.09398712392392437,0.89660794,0.95954883
ETTh1,336,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2026,1.1468701,1.3761839,0.16663020109449045,0.8500014,0.9618819
ETTh1,336,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2024,1.2651342,1.3305875,0.0491912782887258,0.9078949,0.9223949
ETTh1,336,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2025,1.2087244,1.3752171,0.1210664847026699,0.8841669,0.95954883
ETTh1,336,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2026,1.1831104,1.3761839,0.14029629324976126,0.8625724,0.9618819
ETTh2,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,6.5460258,4.818592,-0.3584934769326808,2.2226236,1.8468714
ETTh2,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,5.175593,3.8053982,-0.36006607665920487,1.934065,1.6865298
ETTh2,168,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,8.457655,5.9650545,-0.4178671795873786,2.4860137,2.0531087
ETTh2,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2024,3.4419818,4.818592,0.2856872297965878,1.5167669,1.8468714
ETTh2,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2025,3.2483196,3.8053982,0.14639167065354688,1.447461,1.6865298
ETTh2,168,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2026,5.320495,5.9650545,0.10805592807240902,1.8849611,2.0531087
ETTh2,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2024,2.85218,4.818592,0.4080885038617089,1.3348953,1.8468714
ETTh2,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2025,3.317556,3.8053982,0.12819741177151966,1.3988388,1.6865298
ETTh2,168,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,2026,3.3839273,5.9650545,0.43270806662369976,1.4260345,2.0531087
ETTh2,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2024,2.784038,4.818592,0.42222997921384503,1.3038459,1.8468714
ETTh2,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2025,2.7767167,3.8053982,0.2703216446573186,1.2857964,1.6865298
ETTh2,168,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,2026,4.123756,5.9650545,0.3086809181709907,1.5648974,2.0531087
