setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.23579079,0.24142054,0.48558295,1.6313108,2714.1616,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.01_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.2403188,0.24032764,0.49022323,1.5944105,2334.6853,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.24256675,0.2395834,0.49251065,1.6447121,2796.4487,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_cos_a0.01_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.24638604,0.24306388,0.49637288,1.660978,2088.1638,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_cos_a0.1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.2436047,0.24242678,0.49356326,1.6080334,1850.8109,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_rand_a0.01_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.2439168,0.24373466,0.49387932,1.6235937,2096.7864,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_rand_a0.1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2027_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,Power,2027,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.24786806,0.24580728,0.4978635,1.7000324,3746.8218,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_a0_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh,bounded_sign,0.0,1.0,0.0,1,M,Power,2028,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.2567565,0.24548528,0.5067115,1.67529,2196.1597,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.01_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,Power,2028,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.25260526,0.24885161,0.5025985,1.6625012,2045.3812,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
informer_Solar1_tanh_sin_a0.1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc5_seed2028_4090-162_phase1_oscillation_forms_solar_4090-162_20260515_033215,Solar1,96,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,Power,2028,4090-162,10.21.53.162,phase1_oscillation_forms_solar_4090-162_20260515_033215,0.25028008,0.24801901,0.50028,1.6349455,1926.6509,,,phase1_oscillation_forms_solar_4090-162_20260515_033215,,,,,,,,,,,,,,,,,
